quartile,mean_return,sharpe,n
Q1,0.01064691540752252,0.85988650332567,104
Q2,0.008376392686391402,0.711401546830182,91
Q3,0.008495798526274845,0.8143267761448683,97
Q4,0.01016923701629274,0.6695554346949937,89
