date,signal,threshold,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
1993-01-31,,0.0,0.0,0.0,0.0,1.0,1.0
1993-02-28,,0.0,0.0,0.0,0.0106681596447733,1.0,1.0106681596447733
1993-03-31,,0.0,0.0,0.0,0.02239965162845614,1.0,1.033306774332789
1993-04-30,,0.0,0.0,-0.0,-0.02558842601604927,1.0,1.006866080385892
1993-05-31,,0.0,0.0,0.0,0.026970414866853032,1.0,1.0340216762892618
1993-06-30,,0.0,0.0,0.0,0.0036071403846500427,1.0,1.0377515376364084
1993-07-31,,0.0,0.0,-0.0,-0.004854888796185897,1.0,1.0327133693231128
1993-08-31,,0.0,0.0,0.0,0.03832798516222402,1.0,1.0722951920193593
1993-09-30,,0.0,0.0,-0.0,-0.007274936247212538,1.0,1.064494312859226
1993-10-31,,0.0,0.0,0.0,0.01972662535633085,1.0,1.0854931933629448
1993-11-30,-14.0,0.0,0.0,-0.0,-0.010673809452848348,1.0,1.0739068458546248
1993-12-31,-13.0,0.0,0.0,0.0,0.012277480924042683,1.0,1.0870917166688039
1994-01-31,-8.0,0.0,0.0,0.0,0.03487596748736044,1.0,1.125005092035124
1994-02-28,-9.0,0.0,0.0,-0.0,-0.029164127288850095,1.0,1.0921953003304072
1994-03-31,-5.0,0.0,0.0,-0.0,-0.04190122823584519,1.0,1.0464309757731454
1994-04-30,-6.0,0.0,0.0,0.0,0.011212168879547235,1.0,1.0581637365943033
1994-05-31,-3.0,0.0,0.0,0.0,0.015938863845396778,1.0,1.0750296643180162
1994-06-30,4.0,0.0,1.0,-0.0229137419026344,-0.0229137419026344,0.9770862580973656,1.0503967120521573
1994-07-31,14.0,0.0,1.0,0.03232595271646965,0.03232595271646965,1.0086715022765333,1.0843517864994905
1994-08-31,12.0,0.0,1.0,0.03812062900525959,0.03812062900525959,1.047122694402995,1.125687958663828
1994-09-30,7.0,0.0,1.0,-0.025254796178867167,-0.025254796178867167,1.020677824181581,1.097258938706768
1994-10-31,3.0,0.0,1.0,0.028426739035670057,0.028426739035670057,1.0496923663290865,1.1284504322119415
1994-11-30,-9.0,0.0,0.0,-0.0,-0.03981599586322948,1.0496923663290865,1.0835200544711314
1994-12-31,-10.0,0.0,0.0,0.0,0.0072825743686495414,1.0496923663290865,1.0914108698477407
1995-01-31,-8.0,0.0,0.0,0.0,0.033607707703529055,1.0496923663290865,1.128090687346038
1995-02-28,-5.0,0.0,0.0,0.0,0.040809084332650736,1.0496923663290865,1.1741270353408202
1995-03-31,1.0,0.0,1.0,0.027848458917606456,0.027848458917606456,1.0789246810689272,1.20682466384856
1995-04-30,1.0,0.0,1.0,0.02962208046899817,0.02962208046899817,1.1108846747915393,1.2425733211530536
1995-05-31,3.0,0.0,1.0,0.03967336890705031,0.03967336890705031,1.1549572123077327,1.2918703909172173
1995-06-30,5.0,0.0,1.0,0.020229357899276712,0.020229357899276712,1.1783212551138569,1.3180040994145603
1995-07-31,3.0,0.0,1.0,0.03216545995179376,0.03216545995179376,1.216222500255569,1.3603983074905794
1995-08-31,5.0,0.0,1.0,0.004452351052303571,0.004452351052303571,1.2216375497844172,1.3664552783264872
1995-09-30,-1.0,0.0,0.0,0.0,0.04237583652057464,1.2216375497844172,1.4243599638135267
1995-10-31,-5.0,0.0,0.0,-0.0,-0.002938717320250528,1.2216375497844172,1.4201741725175965
1995-11-30,-10.0,0.0,0.0,0.0,0.04448014504414499,1.2216375497844172,1.4833437256991278
1995-12-31,-11.0,0.0,0.0,0.0,0.01573274186463025,1.2216375497844172,1.506680789632071
1996-01-31,-1.0,0.0,0.0,0.0,0.03557841021844932,1.2216375497844172,1.560286096833858
1996-02-29,-1.0,0.0,0.0,0.0,0.0031900686995789407,1.2216375497844172,1.565263516673756
1996-03-31,3.0,0.0,1.0,0.017218063806691886,0.017218063806691886,1.242671783065256,1.5922143237781317
1996-04-30,3.0,0.0,1.0,0.010870157045174134,0.010870157045174134,1.2561798205027819,1.6095219435271757
1996-05-31,-5.0,0.0,0.0,0.0,0.022699474662139618,1.2561798205027819,1.6460572461024285
1996-06-30,4.0,0.0,1.0,0.008822131041428483,0.008822131041428483,1.2672620034908555,1.660578978829237
1996-07-31,-5.0,0.0,0.0,-0.0,-0.04493575781409942,1.2672620034908555,1.585959604005382
1996-08-31,1.0,0.0,1.0,0.01925889291889149,0.01925889291889149,1.2916680667162659,1.6165034301926093
1996-09-30,7.0,0.0,1.0,0.05587241532350995,0.05587241532350995,1.3638366813999523,1.7068213812162092
1996-10-31,-6.0,0.0,0.0,0.0,0.03233170835516108,1.3638366813999523,1.762005832328045
1996-11-30,5.0,0.0,1.0,0.07300408685768955,0.07300408685768955,1.4634023329485775,1.8906394591550773
1996-12-31,-3.0,0.0,0.0,-0.0,-0.02379815796306406,1.4634023329485775,1.8456457226549028
1997-01-31,1.0,0.0,1.0,0.06178596895050026,0.06178596895050026,1.553820064054228,1.9596807319684821
1997-02-28,3.0,0.0,1.0,0.009565584593865362,0.009565584593865362,1.5686832613205839,1.9784262237870947
1997-03-31,0.0,0.0,1.0,-0.044122536507104404,-0.044122536507104404,1.4994689768548828,1.891133040501436
1997-04-30,6.0,0.0,1.0,0.06260405923342471,0.06260405923342471,1.5933418215005886,2.0095256453872743
1997-05-31,1.0,0.0,1.0,0.06320713408834444,0.06320713408834444,1.6940523916607433,2.1365420023092345
1997-06-30,1.0,0.0,1.0,0.04110209290435418,0.04110209290435418,1.7636814904476266,2.2243583501822037
1997-07-31,2.0,0.0,1.0,0.07926420798129796,0.07926420798129796,1.903478306919233,2.4006703530759825
1997-08-31,3.0,0.0,1.0,-0.05180366193346175,-0.05180366193346175,1.8048711602099108,2.2763068376915503
1997-09-30,-5.0,0.0,0.0,0.0,0.04809002013987329,1.8048711602099108,2.385774479360668
1997-10-31,-5.0,0.0,0.0,-0.0,-0.024503226944405543,1.8048711602099108,2.3273153058547225
1997-11-30,0.0,0.0,1.0,0.03869644159955676,0.03869644159955676,1.874713251655698,2.417374126671484
1997-12-31,-4.0,0.0,0.0,0.0,0.019072383135295468,1.874713251655698,2.463479212196713
