trade_date,side,instrument,quantity_pct,commission_bps,signal_value,threshold_value,position_before,position_after,reason
1996-09-30,BUY,SPY,100.0,5,-2.0,-4.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1996-10-31,SELL,SPY,100.0,5,-12.0,-4.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1996-12-31,BUY,SPY,100.0,5,1.0,-4.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1997-12-31,SELL,SPY,100.0,5,-3.0,-2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1998-01-31,BUY,SPY,100.0,5,-1.0,-2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1998-04-30,SELL,SPY,100.0,5,-3.0,-2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1998-05-31,BUY,SPY,100.0,5,7.0,-1.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1998-11-30,SELL,SPY,100.0,5,-2.0,-1.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1998-12-31,BUY,SPY,100.0,5,8.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1999-02-28,SELL,SPY,100.0,5,-2.0,-1.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1999-04-30,BUY,SPY,100.0,5,2.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1999-05-31,SELL,SPY,100.0,5,-5.0,-1.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
1999-10-31,BUY,SPY,100.0,5,0.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
1999-12-31,SELL,SPY,100.0,5,-11.0,-1.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2000-02-29,BUY,SPY,100.0,5,0.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2000-04-30,SELL,SPY,100.0,5,-4.0,-0.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2000-06-30,BUY,SPY,100.0,5,2.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2000-11-30,SELL,SPY,100.0,5,-2.0,-0.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2000-12-31,BUY,SPY,100.0,5,8.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2001-03-31,SELL,SPY,100.0,5,-2.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2001-04-30,BUY,SPY,100.0,5,5.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2001-06-30,SELL,SPY,100.0,5,-2.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2001-07-31,BUY,SPY,100.0,5,5.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2001-09-30,SELL,SPY,100.0,5,-1.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2001-11-30,BUY,SPY,100.0,5,6.0,0.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2001-12-31,SELL,SPY,100.0,5,-1.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2002-01-31,BUY,SPY,100.0,5,7.0,0.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2003-07-31,SELL,SPY,100.0,5,-12.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2004-02-29,BUY,SPY,100.0,5,5.0,1.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2004-05-31,SELL,SPY,100.0,5,-4.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2004-07-31,BUY,SPY,100.0,5,7.0,2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2005-01-31,SELL,SPY,100.0,5,-3.0,2.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2005-06-30,BUY,SPY,100.0,5,2.0,2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2005-07-31,SELL,SPY,100.0,5,-4.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2007-06-30,BUY,SPY,100.0,5,3.0,-4.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2007-09-30,SELL,SPY,100.0,5,-7.0,-5.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2007-10-31,BUY,SPY,100.0,5,0.0,-5.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2008-07-31,SELL,SPY,100.0,5,-7.0,-5.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2008-09-30,BUY,SPY,100.0,5,-1.0,-5.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2009-03-31,SELL,SPY,100.0,5,-4.0,-3.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2009-04-30,BUY,SPY,100.0,5,-2.0,-3.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2011-01-31,SELL,SPY,100.0,5,-1.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2011-08-31,BUY,SPY,100.0,5,0.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2011-09-30,SELL,SPY,100.0,5,-2.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2011-11-30,BUY,SPY,100.0,5,1.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2011-12-31,SELL,SPY,100.0,5,-15.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2012-02-29,BUY,SPY,100.0,5,2.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2012-03-31,SELL,SPY,100.0,5,-6.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2012-12-31,BUY,SPY,100.0,5,11.0,0.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2013-03-31,SELL,SPY,100.0,5,0.0,0.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2013-04-30,BUY,SPY,100.0,5,7.0,0.5,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2013-10-31,SELL,SPY,100.0,5,-2.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2014-03-31,BUY,SPY,100.0,5,2.0,2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2014-04-30,SELL,SPY,100.0,5,-2.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2015-06-30,BUY,SPY,100.0,5,2.0,-3.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2016-06-30,SELL,SPY,100.0,5,-3.0,-2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2017-03-31,BUY,SPY,100.0,5,-3.0,-3.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2017-04-30,SELL,SPY,100.0,5,-4.0,-3.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2017-05-31,BUY,SPY,100.0,5,-2.0,-3.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2018-09-30,SELL,SPY,100.0,5,-7.0,-1.5,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2018-11-30,BUY,SPY,100.0,5,-2.0,-2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2018-12-31,SELL,SPY,100.0,5,-8.0,-2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2019-03-31,BUY,SPY,100.0,5,-1.0,-2.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2019-07-31,SELL,SPY,100.0,5,-3.0,0.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2020-08-31,BUY,SPY,100.0,5,2.0,-1.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2022-01-31,SELL,SPY,100.0,5,-5.0,2.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2023-11-30,BUY,SPY,100.0,5,-4.0,-5.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
2024-01-31,SELL,SPY,100.0,5,-8.0,-5.0,1.0,0.0,chg_12m procyclical rule crossed T_roll_p50
2024-02-29,BUY,SPY,100.0,5,-4.0,-5.0,0.0,1.0,chg_12m procyclical rule crossed T_roll_p50
