quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,97,0.1439,0.1356,1.061,-0.1353
Q2,97,0.1334,0.1262,1.057,-0.1323
Q3,97,0.0793,0.1411,0.562,-0.2037
Q4,97,0.0996,0.1891,0.527,-0.4665
