signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,2,0.3861,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,3,0.3113,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,4,0.2073,False,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,5,0.3685,True,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,6,0.5853,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,7,0.4108,True,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,8,0.4245,True,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,9,0.4319,True,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,10,0.3685,True,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,11,0.284,False,patched
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,12,0.3399,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,1,0.8807,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,2,0.8476,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,3,0.9235,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,4,1.0597,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,5,0.8842,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,6,0.6585,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,7,0.8046,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,8,0.7946,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,9,0.7915,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,10,0.8467,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,11,0.9149,True,patched
yoy,T1_fixed_p50,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,12,0.864,True,pipeline
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,1,-0.4313,False,pipeline
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,2,-0.3515,False,pipeline
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,3,-0.4513,False,pipeline
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,4,-0.5845,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,5,-0.3536,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,6,-0.0992,False,pipeline
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,7,-0.3595,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,8,-0.3378,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,9,-0.3187,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,10,-0.4015,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,11,-0.5182,False,patched
yoy,T1_fixed_p50,P3_long_short_pro,LB_NA,m2sl_pct_yoy,12,-0.4501,False,pipeline
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,1,0.4313,True,pipeline
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,2,0.3515,True,pipeline
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,3,0.4513,True,pipeline
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,4,0.5845,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,5,0.3536,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,6,0.0992,False,pipeline
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,7,0.3595,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,8,0.3378,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,9,0.3187,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,10,0.4015,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,11,0.5182,True,patched
yoy,T1_fixed_p50,P3_long_short_counter,LB_NA,m2sl_pct_yoy,12,0.4501,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,1,0.701,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,2,0.4519,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,3,0.4906,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,4,0.4078,True,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,5,0.2015,False,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,6,0.2136,False,pipeline
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,7,0.3265,True,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,8,0.2811,False,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,9,0.2371,False,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,10,0.1585,False,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,11,0.2172,False,patched
yoy,T1_fixed_p75,P1_long_cash_pro,LB_NA,m2sl_pct_yoy,12,0.2029,False,pipeline
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,1,0.5959,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,2,0.7599,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,3,0.7346,True,pipeline
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,4,0.7898,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,5,0.9424,True,patched
yoy,T1_fixed_p75,P1_long_cash_counter,LB_NA,m2sl_pct_yoy,6,0.9369,True,pipeline
