lag,f_statistic,p_value,df_num,df_den
1,0.2131,0.6446,1,381
2,0.8321,0.4359,2,378
3,0.7384,0.5297,3,375
4,0.631,0.6406,4,372
5,0.5904,0.7074,5,369
6,0.6133,0.7197,6,366
7,0.6005,0.7555,7,363
8,0.5119,0.8474,8,360
9,0.4652,0.8975,9,357
10,0.4181,0.9377,10,354
11,0.3773,0.9644,11,351
12,0.3652,0.9747,12,348
