date,rolling_corr
1994-12-31,0.05400126230034257
1995-01-31,-0.05116684777194931
1995-02-28,-0.19781111026723888
1995-03-31,-0.26548281906437504
1995-04-30,-0.31895838936223697
1995-05-31,-0.3969422546908322
1995-06-30,-0.37515584934140694
1995-07-31,-0.4037038718726391
1995-08-31,-0.3507695141584634
1995-09-30,-0.40017835806139684
1995-10-31,-0.32867730577626714
1995-11-30,-0.37997147906950457
1995-12-31,-0.37342003730279943
1996-01-31,-0.41096763270701314
1996-02-29,-0.382270850874574
1996-03-31,-0.35704578968564293
1996-04-30,-0.3543635607672536
1996-05-31,-0.35146347173800874
1996-06-30,-0.2729972370435047
1996-07-31,-0.3275861718981364
1996-08-31,-0.3960192291733042
1996-09-30,-0.20932468505316024
1996-10-31,-0.20976168453219574
1996-11-30,0.10721949681100411
1996-12-31,-0.035368841392930075
1997-01-31,0.05734957624593475
1997-02-28,0.018135654177622255
1997-03-31,-0.09801678463763754
1997-04-30,-0.03677330901278387
1997-05-31,0.05631641439787441
1997-06-30,0.06288577060938157
1997-07-31,0.1460172777454822
1997-08-31,0.053310340268434245
1997-09-30,0.1015666178221512
1997-10-31,0.012963988210463328
1997-11-30,0.08450080374068303
1997-12-31,0.07994123745855256
1998-01-31,0.15790467869240354
1998-02-28,0.06362108765693796
1998-03-31,0.013114287535635368
1998-04-30,0.006815928702129132
1998-05-31,0.1164210198078732
1998-06-30,0.0778063403345762
1998-07-31,0.11212636623005089
1998-08-31,0.3327863965263333
1998-09-30,0.2613497678562768
1998-10-31,0.153780127775966
1998-11-30,0.06409564849474118
1998-12-31,0.07144298018135897
1999-01-31,0.02077396015858403
1999-02-28,0.04157128601489543
1999-03-31,0.1356672280622326
1999-04-30,0.10636482640127246
1999-05-31,0.009057256190220577
1999-06-30,0.04837786950055753
1999-07-31,-0.10243950382247945
1999-08-31,-0.056008695051662866
1999-09-30,-0.13872228826014965
1999-10-31,-0.009965504824198921
1999-11-30,-0.023494210054140603
1999-12-31,0.04085556427687028
2000-01-31,-0.017646632108775328
2000-02-29,-0.031334420230962196
2000-03-31,-0.0013795817530907666
2000-04-30,-0.013857495180287317
2000-05-31,-0.033452645157392547
2000-06-30,-0.012355898047997157
2000-07-31,-0.03915647312546646
2000-08-31,-0.3231984534266783
2000-09-30,-0.1567280160910491
2000-10-31,-0.03204227902866211
2000-11-30,0.17219226040414495
2000-12-31,0.2661203714081194
2001-01-31,0.17507875714633667
2001-02-28,0.3011639781795434
2001-03-31,0.35370767522066165
2001-04-30,0.22427004229486547
2001-05-31,0.23710587848671935
2001-06-30,0.20788971520320132
2001-07-31,0.2365641857846385
2001-08-31,0.23990855757669804
2001-09-30,0.26049406667097985
2001-10-31,0.17448655954891662
2001-11-30,0.14557795406949617
2001-12-31,0.03737403660807237
2002-01-31,0.10411820405054156
2002-02-28,0.08771658781021538
2002-03-31,0.05940467416046284
2002-04-30,-0.008950291281221047
2002-05-31,0.0013502405072530648
2002-06-30,-0.08777264804631024
