signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T2_roll_p75,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T2_roll_p75,P3_long_short_pro,0,-0.6596,1.07,-53.53,-8.63,False,invalid
S1_level,T2_roll_p75,P3_long_short_counter,0,0.6596,1.07,-13.29,8.63,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_pro,0,0.1816,0.39,-4.92,0.46,True,valid
S1_level,T3_zscore_1.0,P1_long_cash_counter,0,0.7207,0.39,-13.29,9.23,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_1.0,P3_long_short_pro,0,-0.671,0.79,-52.85,-8.77,False,invalid
S1_level,T3_zscore_1.0,P3_long_short_counter,0,0.671,0.79,-13.29,8.77,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,0,0.6393,0.29,-4.5,3.41,True,valid
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,0,0.5216,0.29,-13.29,6.27,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short_pro,0,-0.2155,0.57,-30.67,-2.86,False,invalid
S1_level,T3_zscore_neg_1.0,P3_long_short_counter,0,0.2155,0.57,-30.72,2.86,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_pro,0,0.378,0.5,0.0,0.73,True,valid
S1_level,T3_zscore_1.5,P1_long_cash_counter,0,0.6928,0.5,-13.29,8.95,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_1.5,P3_long_short_pro,0,-0.6269,1.0,-51.35,-8.22,False,invalid
S1_level,T3_zscore_1.5,P3_long_short_counter,0,0.6269,1.0,-13.29,8.22,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_pro,0,0.5864,0.14,-0.22,2.19,True,valid
S1_level,T3_zscore_neg_1.5,P1_long_cash_counter,0,0.5956,0.14,-13.39,7.5,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short_pro,0,-0.401,0.29,-38.78,-5.31,False,invalid
S1_level,T3_zscore_neg_1.5,P3_long_short_counter,0,0.401,0.29,-26.08,5.31,True,valid
S1_level,T3_zscore_2.0,P1_long_cash_pro,0,0.0,0.14,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash_counter,0,0.7437,0.14,-13.29,9.68,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
S1_level,T3_zscore_2.0,P2_signal_strength_counter,0,0.7021,0.47,-6.84,3.23,True,valid
S1_level,T3_zscore_2.0,P3_long_short_pro,0,-0.7437,0.29,-51.35,-9.68,False,invalid
S1_level,T3_zscore_2.0,P3_long_short_counter,0,0.7437,0.29,-13.29,9.68,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,0,0.4447,0.14,-0.22,1.19,True,valid
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,0,0.6628,0.14,-13.29,8.49,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,0,0.6558,0.47,-11.03,6.46,True,valid
