signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
S1_level,T3_zscore_2.0,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T3_zscore_2.0,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T3_zscore_2.0,P3_long_short_pro,LB_NA,indpro,0,-0.7437,False,pipeline
S1_level,T3_zscore_2.0,P3_long_short_counter,LB_NA,indpro,0,0.7437,True,pipeline
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,LB_NA,indpro,0,0.4447,True,pipeline
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,LB_NA,indpro,0,0.6628,True,pipeline
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,LB_NA,indpro,0,0.6558,True,pipeline
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,LB_NA,indpro,0,0.7021,True,pipeline
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,LB_NA,indpro,0,-0.5546,False,pipeline
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,LB_NA,indpro,0,0.5546,True,pipeline
S1_level,T1_fixed_p25,P1_long_cash_pro,LB_NA,indpro,1,0.6813,True,pipeline
S1_level,T1_fixed_p25,P1_long_cash_counter,LB_NA,indpro,1,0.3654,True,pipeline
S1_level,T1_fixed_p25,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T1_fixed_p25,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T1_fixed_p25,P3_long_short_pro,LB_NA,indpro,1,0.5918,True,pipeline
S1_level,T1_fixed_p25,P3_long_short_counter,LB_NA,indpro,1,-0.5918,False,pipeline
S1_level,T1_fixed_p50,P1_long_cash_pro,LB_NA,indpro,1,0.5979,True,pipeline
S1_level,T1_fixed_p50,P1_long_cash_counter,LB_NA,indpro,1,0.5173,True,pipeline
S1_level,T1_fixed_p50,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T1_fixed_p50,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T1_fixed_p50,P3_long_short_pro,LB_NA,indpro,1,0.3846,True,pipeline
S1_level,T1_fixed_p50,P3_long_short_counter,LB_NA,indpro,1,-0.3846,False,pipeline
S1_level,T1_fixed_p75,P1_long_cash_pro,LB_NA,indpro,1,0.5329,True,pipeline
S1_level,T1_fixed_p75,P1_long_cash_counter,LB_NA,indpro,1,0.5476,True,pipeline
S1_level,T1_fixed_p75,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T1_fixed_p75,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T1_fixed_p75,P3_long_short_pro,LB_NA,indpro,1,0.1842,True,pipeline
S1_level,T1_fixed_p75,P3_long_short_counter,LB_NA,indpro,1,-0.1842,False,pipeline
S1_level,T2_roll_p25,P1_long_cash_pro,LB_NA,indpro,1,0.6217,True,pipeline
S1_level,T2_roll_p25,P1_long_cash_counter,LB_NA,indpro,1,0.4285,True,pipeline
S1_level,T2_roll_p25,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T2_roll_p25,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T2_roll_p25,P3_long_short_pro,LB_NA,indpro,1,0.4093,True,pipeline
S1_level,T2_roll_p25,P3_long_short_counter,LB_NA,indpro,1,-0.4093,False,pipeline
S1_level,T2_roll_p50,P1_long_cash_pro,LB_NA,indpro,1,0.7997,True,pipeline
S1_level,T2_roll_p50,P1_long_cash_counter,LB_NA,indpro,1,0.3317,True,pipeline
S1_level,T2_roll_p50,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T2_roll_p50,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T2_roll_p50,P3_long_short_pro,LB_NA,indpro,1,0.1949,True,pipeline
S1_level,T2_roll_p50,P3_long_short_counter,LB_NA,indpro,1,-0.1949,False,pipeline
S1_level,T2_roll_p75,P1_long_cash_pro,LB_NA,indpro,1,0.3638,True,pipeline
S1_level,T2_roll_p75,P1_long_cash_counter,LB_NA,indpro,1,0.6682,True,pipeline
S1_level,T2_roll_p75,P2_signal_strength_pro,LB_NA,indpro,1,0.6751,True,pipeline
S1_level,T2_roll_p75,P2_signal_strength_counter,LB_NA,indpro,1,0.6905,True,pipeline
S1_level,T2_roll_p75,P3_long_short_pro,LB_NA,indpro,1,-0.5474,False,pipeline
S1_level,T2_roll_p75,P3_long_short_counter,LB_NA,indpro,1,0.5474,True,pipeline
S1_level,T3_zscore_1.0,P1_long_cash_pro,LB_NA,indpro,1,0.4345,True,pipeline
S1_level,T3_zscore_1.0,P1_long_cash_counter,LB_NA,indpro,1,0.6526,True,pipeline
