date,signal_value,position,xlp_return,strategy_return
2019-01-31,-0.6643,1.0,0.051398,0.051398
2019-02-28,-0.5464,1.0,0.017793,0.017793
2019-03-31,0.0375,1.0,0.03823,0.03823
2019-04-30,-0.5849,0.0,0.028515,0.0
2019-05-31,0.1154,1.0,-0.036389,-0.036389
2019-06-30,0.0444,1.0,0.052195,0.052195
2019-07-31,-0.4849,1.0,0.02342,0.02342
2019-08-31,0.6849,0.0,0.021706,0.0
2019-09-30,-0.3384,0.0,0.017513,0.0
2019-10-31,-0.8443,0.0,-0.004233,-0.0
2019-11-30,0.5019,0.0,0.013735,0.0
2019-12-31,-0.2324,0.0,0.024127,0.0
2020-01-31,-0.6554,0.0,0.003176,0.0
2020-02-29,0.3362,0.0,-0.082146,-0.0
2020-03-31,-3.912,0.0,-0.055321,-0.0
2020-04-30,-13.1878,0.0,0.069579,0.0
2020-05-31,1.6538,0.0,0.01665,0.0
2020-06-30,6.553,0.0,-0.002246,-0.0
2020-07-31,3.7472,1.0,0.069236,0.069236
2020-08-31,0.9779,0.0,0.045933,0.0
2020-09-30,0.0125,0.0,-0.016748,-0.0
2020-10-31,0.805,1.0,-0.028705,-0.028705
2020-11-30,0.3537,0.0,0.074687,0.0
2020-12-31,1.3199,0.0,0.01651,0.0
2021-01-31,0.5278,1.0,-0.049815,-0.049815
2021-02-28,-3.3042,0.0,-0.012326,-0.0
2021-03-31,2.8978,0.0,0.084982,0.0
2021-04-30,0.1759,1.0,0.018592,0.018592
2021-05-31,0.8874,1.0,0.017677,0.017677
2021-06-30,0.3675,1.0,-0.005444,-0.005444
2021-07-31,0.4541,1.0,0.02201,0.02201
2021-08-31,-0.2077,0.0,0.010488,0.0
2021-09-30,-1.1853,1.0,-0.041392,-0.041392
2021-10-31,1.3435,1.0,0.035009,0.035009
2021-11-30,0.678,1.0,-0.013474,-0.013474
2021-12-31,-0.2903,1.0,0.104547,0.104547
2022-01-31,-0.3848,0.0,-0.014784,-0.0
2022-02-28,0.6196,1.0,-0.014084,-0.014084
2022-03-31,0.5796,1.0,0.017813,0.017813
2022-04-30,0.0486,1.0,0.023059,0.023059
2022-05-31,-0.105,1.0,-0.040829,-0.040829
2022-06-30,-0.3113,1.0,-0.023472,-0.023472
2022-07-31,0.2029,0.0,0.032003,0.0
2022-08-31,-0.1252,0.0,-0.018526,-0.0
2022-09-30,0.1934,1.0,-0.081328,-0.081328
2022-10-31,-0.0384,1.0,0.090064,0.090064
2022-11-30,-0.294,0.0,0.061177,0.0
2022-12-31,-1.1776,0.0,-0.027275,-0.0
2023-01-31,0.7403,1.0,-0.010865,-0.010865
2023-02-28,0.1359,1.0,-0.02319,-0.02319
2023-03-31,0.3765,0.0,0.042193,0.0
2023-04-30,0.2302,0.0,0.036542,0.0
2023-05-31,-0.3204,0.0,-0.061596,-0.0
2023-06-30,-0.8016,1.0,0.027882,0.027882
2023-07-31,0.7862,0.0,0.021302,0.0
2023-08-31,-0.0668,1.0,-0.039472,-0.039472
2023-09-30,0.1803,0.0,-0.047879,-0.0
2023-10-31,-0.5466,0.0,-0.013806,-0.0
2023-11-30,0.3932,0.0,0.041261,0.0
2023-12-31,-0.2586,1.0,0.027116,0.027116
2024-01-31,-1.3725,1.0,0.012356,0.012356
2024-02-29,1.071,1.0,0.020982,0.020982
2024-03-31,0.172,1.0,0.033206,0.033206
2024-04-30,-0.2131,0.0,-0.011262,-0.0
2024-05-31,0.6181,0.0,0.024371,0.0
2024-06-30,0.0307,1.0,-0.002351,-0.002351
2024-07-31,-0.9102,0.0,0.016584,0.0
2024-08-31,0.4553,1.0,0.059859,0.059859
2024-09-30,-0.6198,0.0,0.011284,0.0
2024-10-31,-0.3396,1.0,-0.034699,-0.034699
2024-11-30,-0.1779,0.0,0.038692,0.0
2024-12-31,1.0422,0.0,-0.048228,-0.0
2025-01-31,-0.2617,1.0,0.004707,0.004707
2025-02-28,1.0339,1.0,0.051912,0.051912
2025-03-31,-0.0583,0.0,-0.011765,-0.0
2025-04-30,0.0866,1.0,0.001959,0.001959
2025-05-31,-0.1606,0.0,0.01222,0.0
2025-06-30,0.5081,0.0,-0.01575,-0.0
2025-07-31,0.4094,1.0,-0.014697,-0.014697
2025-08-31,-0.2643,0.0,0.012534,0.0
2025-09-30,0.0799,0.0,-0.023177,-0.0
2025-10-31,-0.4414,0.0,-0.026668,-0.0
2025-11-30,0.119,1.0,0.040509,0.040509
2025-12-31,0.2487,0.0,-0.007472,-0.0
