date,signal_value,signal_lagged,sample,threshold
1998-01-31,,,IS,0.11859305173361756
1998-02-28,0.1618798460184756,,IS,0.11859305173361756
1998-03-31,0.035165282749005655,,IS,0.11859305173361756
1998-04-30,0.3431256509800251,,IS,0.11859305173361756
1998-05-31,0.6591340431881365,,IS,0.11859305173361756
1998-06-30,-0.5998591461821245,,IS,0.11859305173361756
1998-07-31,-0.3845573464364205,,IS,0.11859305173361756
1998-08-31,2.070330159316258,,IS,0.11859305173361756
1998-09-30,-0.05321862535943023,,IS,0.11859305173361756
1998-10-31,0.6836260369526892,,IS,0.11859305173361756
1998-11-30,-0.07581396313459665,,IS,0.11859305173361756
1998-12-31,0.4530380879463447,,IS,0.11859305173361756
1999-01-31,0.43205518919633423,0.1618798460184756,IS,0.11859305173361756
1999-02-28,0.608149732155816,0.035165282749005655,IS,0.11859305173361756
1999-03-31,0.22686221273018337,0.3431256509800251,IS,0.11859305173361756
1999-04-30,0.22986238859665775,0.6591340431881365,IS,0.11859305173361756
1999-05-31,0.6322550732504428,-0.5998591461821245,IS,0.11859305173361756
1999-06-30,-0.07843701328035246,-0.3845573464364205,IS,0.11859305173361756
1999-07-31,0.5786177951119464,2.070330159316258,IS,0.11859305173361756
1999-08-31,0.4015282897980921,-0.05321862535943023,IS,0.11859305173361756
1999-09-30,-0.403708999870811,0.6836260369526892,IS,0.11859305173361756
1999-10-31,1.2222981351874385,-0.07581396313459665,IS,0.11859305173361756
1999-11-30,0.4847386851960289,0.4530380879463447,IS,0.11859305173361756
1999-12-31,0.7713127928427044,0.43205518919633423,IS,0.11859305173361756
2000-01-31,-0.13680487522828022,0.608149732155816,IS,0.11859305173361756
2000-02-29,0.3123293058620469,0.22686221273018337,IS,0.11859305173361756
2000-03-31,0.35557191537280985,0.22986238859665775,IS,0.11859305173361756
2000-04-30,0.5952225926311616,0.6322550732504428,IS,0.11859305173361756
2000-05-31,0.2707691245527277,-0.07843701328035246,IS,0.11859305173361756
2000-06-30,0.03905329645323974,0.5786177951119464,IS,0.11859305173361756
2000-07-31,-0.19508271119800247,0.4015282897980921,IS,0.11859305173361756
2000-08-31,-0.272291950416359,-0.403708999870811,IS,0.11859305173361756
2000-09-30,0.4614698099772996,1.2222981351874385,IS,0.11859305173361756
2000-10-31,-0.388581532213661,0.4847386851960289,IS,0.11859305173361756
2000-11-30,0.027964356782006483,0.7713127928427044,IS,0.11859305173361756
2000-12-31,-0.3263035410896342,-0.13680487522828022,IS,0.11859305173361756
2001-01-31,-0.4759506830623206,0.3123293058620469,IS,0.11859305173361756
2001-02-28,-0.6513459989989423,0.35557191537280985,IS,0.11859305173361756
2001-03-31,-0.20503069984249,0.5952225926311616,IS,0.11859305173361756
2001-04-30,-0.3589921440973143,0.2707691245527277,IS,0.11859305173361756
2001-05-31,-0.47759037153137784,0.03905329645323974,IS,0.11859305173361756
2001-06-30,-0.5280254107386972,-0.19508271119800247,IS,0.11859305173361756
2001-07-31,-0.6404208352618568,-0.272291950416359,IS,0.11859305173361756
2001-08-31,-0.11477803607502501,0.4614698099772996,IS,0.11859305173361756
2001-09-30,-0.5065005386753141,-0.388581532213661,IS,0.11859305173361756
2001-10-31,-0.27414547851513094,0.027964356782006483,IS,0.11859305173361756
2001-11-30,-0.6047102317151998,-0.3263035410896342,IS,0.11859305173361756
2001-12-31,-0.04274184381038992,-0.4759506830623206,IS,0.11859305173361756
2002-01-31,0.6655112336294788,-0.6513459989989423,IS,0.11859305173361756
2002-02-28,0.011523132122870372,-0.20503069984249,IS,0.11859305173361756
2002-03-31,0.7238404207491778,-0.3589921440973143,IS,0.11859305173361756
2002-04-30,0.48828847823112476,-0.47759037153137784,IS,0.11859305173361756
2002-05-31,0.4017677782241824,-0.5280254107386972,IS,0.11859305173361756
2002-06-30,0.8248855097594765,-0.6404208352618568,IS,0.11859305173361756
2002-07-31,-0.032191881251653065,-0.11477803607502501,IS,0.11859305173361756
2002-08-31,-0.11105364210730606,-0.5065005386753141,IS,0.11859305173361756
2002-09-30,0.08490089007928692,-0.27414547851513094,IS,0.11859305173361756
2002-10-31,-0.2082664575177251,-0.6047102317151998,IS,0.11859305173361756
2002-11-30,0.5602209932537017,-0.04274184381038992,IS,0.11859305173361756
2002-12-31,-0.5561106769072954,0.6655112336294788,IS,0.11859305173361756
2003-01-31,0.8521508823282398,0.011523132122870372,IS,0.11859305173361756
2003-02-28,0.11881261912773944,0.7238404207491778,IS,0.11859305173361756
2003-03-31,-0.26285107477734826,0.48828847823112476,IS,0.11859305173361756
2003-04-30,-0.5956902191332047,0.4017677782241824,IS,0.11859305173361756
2003-05-31,-0.027274222988304953,0.8248855097594765,IS,0.11859305173361756
2003-06-30,0.1277930569822061,-0.032191881251653065,IS,0.11859305173361756
2003-07-31,0.5138291523584027,-0.11105364210730606,IS,0.11859305173361756
2003-08-31,-0.21817742829391973,0.08490089007928692,IS,0.11859305173361756
2003-09-30,0.6447447582867083,-0.2082664575177251,IS,0.11859305173361756
2003-10-31,0.1231614573486528,0.5602209932537017,IS,0.11859305173361756
2003-11-30,0.6704970388109022,-0.5561106769072954,IS,0.11859305173361756
2003-12-31,0.029598982575618216,0.8521508823282398,IS,0.11859305173361756
2004-01-31,0.1521782957331519,0.11881261912773944,IS,0.11859305173361756
2004-02-29,0.6032428360854825,-0.26285107477734826,IS,0.11859305173361756
2004-03-31,-0.4000731513156497,-0.5956902191332047,IS,0.11859305173361756
2004-04-30,0.3714380452357391,-0.027274222988304953,IS,0.11859305173361756
2004-05-31,0.7223716776067812,0.1277930569822061,IS,0.11859305173361756
2004-06-30,-0.7802242062877385,0.5138291523584027,IS,0.11859305173361756
2004-07-31,0.747165423006102,-0.21817742829391973,IS,0.11859305173361756
2004-08-31,0.06711918678907747,0.6447447582867083,IS,0.11859305173361756
2004-09-30,0.12709913839601406,0.1231614573486528,IS,0.11859305173361756
2004-10-31,0.8531500308810669,0.6704970388109022,IS,0.11859305173361756
2004-11-30,0.24834340774118058,0.029598982575618216,IS,0.11859305173361756
2004-12-31,0.7967816436364572,0.1521782957331519,IS,0.11859305173361756
2005-01-31,0.3596531168715611,0.6032428360854825,IS,0.11859305173361756
2005-02-28,0.7259066271311676,-0.4000731513156497,IS,0.11859305173361756
2005-03-31,-0.1351265996452522,0.3714380452357391,IS,0.11859305173361756
2005-04-30,0.21525087717841895,0.7223716776067812,IS,0.11859305173361756
2005-05-31,0.09001253967795275,-0.7802242062877385,IS,0.11859305173361756
2005-06-30,0.44976131949281406,0.747165423006102,IS,0.11859305173361756
2005-07-31,-0.31664425013351316,0.06711918678907747,IS,0.11859305173361756
2005-08-31,0.32590876619220666,0.12709913839601406,IS,0.11859305173361756
2005-09-30,-1.9373698979145648,0.8531500308810669,IS,0.11859305173361756
2005-10-31,1.2137396970635095,0.24834340774118058,IS,0.11859305173361756
2005-11-30,1.1240218459586115,0.7967816436364572,IS,0.11859305173361756
2005-12-31,0.5164986354512013,0.3596531168715611,IS,0.11859305173361756
2006-01-31,0.15778436884212876,0.7259066271311676,IS,0.11859305173361756
2006-02-28,0.042158902402134046,-0.1351265996452522,IS,0.11859305173361756
2006-03-31,0.22546525748337043,0.21525087717841895,IS,0.11859305173361756
2006-04-30,0.30366798425394137,0.09001253967795275,IS,0.11859305173361756
2006-05-31,0.025414684625046924,0.44976131949281406,IS,0.11859305173361756
2006-06-30,0.3166411740827879,-0.31664425013351316,IS,0.11859305173361756
2006-07-31,-0.05126150735067503,0.32590876619220666,IS,0.11859305173361756
2006-08-31,0.43887413186818325,-1.9373698979145648,IS,0.11859305173361756
2006-09-30,-0.16615804011917978,1.2137396970635095,IS,0.11859305173361756
2006-10-31,-0.11468178573332821,1.1240218459586115,IS,0.11859305173361756
2006-11-30,-0.04203442589240103,0.5164986354512013,IS,0.11859305173361756
2006-12-31,1.0193348910427114,0.15778436884212876,IS,0.11859305173361756
2007-01-31,-0.3383130268983403,0.042158902402134046,IS,0.11859305173361756
2007-02-28,0.9422584955516511,0.22546525748337043,IS,0.11859305173361756
2007-03-31,0.17801981239451425,0.30366798425394137,IS,0.11859305173361756
2007-04-30,0.672281726358448,0.025414684625046924,IS,0.11859305173361756
2007-05-31,0.09563785133628322,0.3166411740827879,IS,0.11859305173361756
2007-06-30,0.0577014192386649,-0.05126150735067503,IS,0.11859305173361756
2007-07-31,-0.11995366900057203,0.43887413186818325,IS,0.11859305173361756
2007-08-31,0.19258915363067342,-0.16615804011917978,IS,0.11859305173361756
2007-09-30,0.22225930907198155,-0.11468178573332821,IS,0.11859305173361756
2007-10-31,-0.2820077304793611,-0.04203442589240103,IS,0.11859305173361756
2007-11-30,0.5334891922024632,1.0193348910427114,IS,0.11859305173361756
2007-12-31,0.0348821530398391,-0.3383130268983403,IS,0.11859305173361756
2008-01-31,-0.13234968055378937,0.9422584955516511,IS,0.11859305173361756
2008-02-29,-0.3921959845390677,0.17801981239451425,IS,0.11859305173361756
2008-03-31,-0.30458407875589844,0.672281726358448,IS,0.11859305173361756
2008-04-30,-0.6452051340639975,0.09563785133628322,IS,0.11859305173361756
2008-05-31,-0.6057782381776122,0.0577014192386649,IS,0.11859305173361756
2008-06-30,-0.2332762193893445,-0.11995366900057203,IS,0.11859305173361756
2008-07-31,-0.3573802776070001,0.19258915363067342,IS,0.11859305173361756
2008-08-31,-1.5699867570929893,0.22225930907198155,IS,0.11859305173361756
2008-09-30,-4.4048023108496315,-0.2820077304793611,IS,0.11859305173361756
2008-10-31,0.9941411352017093,0.5334891922024632,IS,0.11859305173361756
2008-11-30,-1.3200748718089517,0.0348821530398391,IS,0.11859305173361756
2008-12-31,-2.819896973943936,-0.13234968055378937,IS,0.11859305173361756
2009-01-31,-2.4942836351786957,-0.3921959845390677,IS,0.11859305173361756
2009-02-28,-0.6085582025516345,-0.30458407875589844,IS,0.11859305173361756
2009-03-31,-1.5655848507912018,-0.6452051340639975,IS,0.11859305173361756
2009-04-30,-0.8290557258392117,-0.6057782381776122,IS,0.11859305173361756
2009-05-31,-1.009956431882919,-0.2332762193893445,IS,0.11859305173361756
2009-06-30,-0.37688161614736204,-0.3573802776070001,IS,0.11859305173361756
2009-07-31,1.129022170984073,-1.5699867570929893,IS,0.11859305173361756
2009-08-31,1.0966982370450573,-4.4048023108496315,IS,0.11859305173361756
2009-09-30,0.881437075988023,0.9941411352017093,IS,0.11859305173361756
2009-10-31,0.26954578788944694,-1.3200748718089517,IS,0.11859305173361756
2009-11-30,0.4338107685935455,-2.819896973943936,IS,0.11859305173361756
2009-12-31,0.4058071779700745,-2.4942836351786957,IS,0.11859305173361756
2010-01-31,1.089961110803106,-0.6085582025516345,IS,0.11859305173361756
2010-02-28,0.3752968908449006,-1.5655848507912018,IS,0.11859305173361756
2010-03-31,0.6856761810881018,-0.8290557258392117,IS,0.11859305173361756
2010-04-30,0.3392297060230698,-1.009956431882919,IS,0.11859305173361756
2010-05-31,1.3508964217083586,-0.37688161614736204,IS,0.11859305173361756
2010-06-30,0.18492098929463463,1.129022170984073,IS,0.11859305173361756
2010-07-31,0.37970362897965515,1.0966982370450573,IS,0.11859305173361756
2010-08-31,0.3664634007673584,0.881437075988023,IS,0.11859305173361756
2010-09-30,0.2947761395331261,0.26954578788944694,IS,0.11859305173361756
2010-10-31,-0.2833668805007239,0.4338107685935455,IS,0.11859305173361756
2010-11-30,0.08695624029699811,0.4058071779700745,IS,0.11859305173361756
2010-12-31,0.9785396067085728,1.089961110803106,IS,0.11859305173361756
2011-01-31,-0.21061351192962485,0.3752968908449006,IS,0.11859305173361756
2011-02-28,-0.3970843397723911,0.6856761810881018,IS,0.11859305173361756
2011-03-31,1.040272709112422,0.3392297060230698,IS,0.11859305173361756
2011-04-30,-0.3230270794270296,1.3508964217083586,IS,0.11859305173361756
2011-05-31,0.1206079665240889,0.18492098929463463,IS,0.11859305173361756
