signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T3_zscore_1.0,P3_long_short_pro,0,0.0299,-0.671,-1.0804,-0.166,-8.77,13.07,-52.85,0.4286,0.79,240,84,False
S1_level,T3_zscore_1.0,P3_long_short_counter,0,-0.0299,0.671,1.1967,0.66,8.77,13.07,-13.29,0.5714,0.79,240,84,True
S1_level,T3_zscore_neg_1.0,P1_long_cash_pro,0,0.0733,0.6393,0.7429,0.7582,3.41,5.33,-4.5,0.0595,0.29,240,84,True
S1_level,T3_zscore_neg_1.0,P1_long_cash_counter,0,0.519,0.5216,0.8519,0.472,6.27,12.03,-13.29,0.5238,0.29,240,84,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T3_zscore_neg_1.0,P3_long_short_pro,0,-0.4493,-0.2155,-0.3812,-0.0934,-2.86,13.29,-30.67,0.4405,0.57,240,84,False
S1_level,T3_zscore_neg_1.0,P3_long_short_counter,0,0.4493,0.2155,0.3472,0.0932,2.86,13.29,-30.72,0.5595,0.57,240,84,True
S1_level,T3_zscore_1.5,P1_long_cash_pro,0,0.4866,0.378,0.0,0.0,0.73,1.94,0.0,0.0119,0.5,240,84,True
S1_level,T3_zscore_1.5,P1_long_cash_counter,0,0.3526,0.6928,1.2381,0.6733,8.95,12.92,-13.29,0.5714,0.5,240,84,True
S1_level,T3_zscore_1.5,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T3_zscore_1.5,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T3_zscore_1.5,P3_long_short_pro,0,-0.1518,-0.6269,-1.0017,-0.16,-8.22,13.11,-51.35,0.4286,1.0,240,84,False
S1_level,T3_zscore_1.5,P3_long_short_counter,0,0.1518,0.6269,1.132,0.6181,8.22,13.11,-13.29,0.5714,1.0,240,84,True
S1_level,T3_zscore_neg_1.5,P1_long_cash_pro,0,0.2059,0.5864,0.0,9.7438,2.19,3.73,-0.22,0.0357,0.14,240,84,True
S1_level,T3_zscore_neg_1.5,P1_long_cash_counter,0,0.4662,0.5956,1.0449,0.5598,7.5,12.58,-13.39,0.5476,0.14,240,84,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T3_zscore_neg_1.5,P3_long_short_pro,0,-0.3842,-0.401,-0.6621,-0.1368,-5.31,13.23,-38.78,0.4405,0.29,240,84,False
S1_level,T3_zscore_neg_1.5,P3_long_short_counter,0,0.3842,0.401,0.6939,0.2035,5.31,13.23,-26.08,0.5595,0.29,240,84,True
S1_level,T3_zscore_2.0,P1_long_cash_pro,0,0.3135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,240,84,False
S1_level,T3_zscore_2.0,P1_long_cash_counter,0,0.47,0.7437,1.3397,0.7285,9.68,13.02,-13.29,0.5833,0.14,240,84,True
S1_level,T3_zscore_2.0,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T3_zscore_2.0,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T3_zscore_2.0,P3_long_short_pro,0,-0.425,-0.7437,-1.1858,-0.1886,-9.68,13.02,-51.35,0.4167,0.29,240,84,False
S1_level,T3_zscore_2.0,P3_long_short_counter,0,0.425,0.7437,1.3397,0.7285,9.68,13.02,-13.29,0.5833,0.29,240,84,True
S1_level,T3_zscore_neg_2.0,P1_long_cash_pro,0,0.141,0.4447,0.0,5.319,1.19,2.69,-0.22,0.0238,0.14,240,84,True
S1_level,T3_zscore_neg_2.0,P1_long_cash_counter,0,0.4865,0.6628,1.1835,0.6387,8.49,12.81,-13.29,0.5595,0.14,240,84,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength_pro,0,0.5851,0.6558,1.2154,0.5852,6.46,9.84,-11.03,0.5595,0.47,216,84,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength_counter,0,0.2825,0.7021,1.1027,0.4718,3.23,4.6,-6.84,0.5714,0.47,216,84,True
S1_level,T3_zscore_neg_2.0,P3_long_short_pro,0,-0.4254,-0.5546,-0.8947,-0.1717,-7.29,13.15,-42.48,0.4286,0.29,240,84,False
S1_level,T3_zscore_neg_2.0,P3_long_short_counter,0,0.4254,0.5546,0.9866,0.4856,7.29,13.15,-15.02,0.5714,0.29,240,84,True
S1_level,T1_fixed_p25,P1_long_cash_pro,1,0.6563,0.6813,1.2166,0.6566,8.73,12.81,-13.29,0.5714,0.46,240,84,True
S1_level,T1_fixed_p25,P1_long_cash_counter,1,-0.0884,0.3654,0.0,4.2601,0.96,2.62,-0.22,0.0119,0.46,240,84,True
S1_level,T1_fixed_p25,P2_signal_strength_pro,1,0.5821,0.6751,1.2576,0.6124,6.75,10.0,-11.02,0.5714,0.47,215,84,True
S1_level,T1_fixed_p25,P2_signal_strength_counter,1,0.3888,0.6905,1.1119,0.4706,2.93,4.25,-6.23,0.5714,0.47,215,84,True
