transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
indpro_yoy,+0.000,-0.027,-0.049,-0.022,+0.006,+0.010,+0.007,+0.038,+0.016,-0.024,-0.003,+0.002,-0.026,L2,-0.049
indpro_mom,+0.075,+0.061,-0.100,-0.102,+0.106,-0.004,-0.083,-0.029,+0.139*,-0.049,-0.074,+0.059,-0.038,L8,+0.139
indpro_mom_3m,+0.018,-0.073,-0.049,+0.002,+0.012,-0.059,+0.016,+0.031,+0.006,-0.038,-0.031,-0.014,-0.042,L1,-0.073
indpro_mom_6m,+0.014,-0.044,-0.078,+0.013,+0.031,-0.038,-0.015,+0.001,-0.005,-0.057,-0.030,+0.040,+0.008,L2,-0.078
indpro_zscore_60m,-0.029,-0.051,-0.080,-0.052,-0.019,-0.046,-0.055,-0.039,-0.014,-0.071,-0.054,-0.032,-0.043,L2,-0.080
indpro_accel,+0.011,+0.128*,+0.001,-0.164**,+0.086,+0.063,-0.043,-0.133*,+0.149**,+0.020,-0.105,+0.076,+0.000,L3,-0.164
indpro_contraction,-0.041,-0.028,-0.010,-0.002,-0.057,-0.030,-0.019,-0.044,-0.026,+0.006,+0.035,+0.056,-0.004,L4,-0.057
