lag,f_statistic,p_value,df_num,df_den
1,24.3331,1e-06,1,8077
2,13.487,1e-06,2,8074
3,8.8496,7e-06,3,8071
5,5.5775,3.9e-05,5,8065
10,3.0592,0.000696,10,8050
21,2.0998,0.002319,21,8017
