lead_days,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,924,1.5361,0.6567,0.5205,0.8593,hmm_stress,T2_roll_p25,P2_signal_strength_counter,-0.0995
5,910,1.3816,0.6738,0.4918,0.9291,hmm_stress,T2_roll_p25,P2_signal_strength_counter,-0.0997
21,925,1.4963,0.6635,0.5254,0.8391,sox_mom12m,T2_roll_p25,P1_long_cash_pro,-0.0997
63,908,1.57,0.7111,0.4778,1.0397,rs_mom6m,T2_roll_p75,P1_long_cash_pro,-0.0966
126,940,1.5022,0.6796,0.5297,0.8705,sox_mom12m,T2_roll_p75,P1_long_cash_pro,-0.0588
252,946,1.4179,0.6592,0.5465,0.7972,sox_mom3m,T1_fixed_p50,P1_long_cash_counter,-0.0951
