episode,start_date,end_date,n_trading_days,ann_sharpe,win_rate,max_drawdown,data_status,durability_verdict
dot_com,2000-03-01,2002-10-31,0,,,,insufficient_data,
gfc,2007-12-01,2009-06-30,0,,,,insufficient_data,
covid,2020-02-01,2020-12-31,0,,,,insufficient_data,
rates_2022,2022-01-03,2022-12-30,251,0.3607,0.0876,-0.0966,validated,conditionally_durable
