lead_months,lead_unit,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,weeks,60,1.4339,0.7257,0.5357,0.8824,sox_spy_ratio_mom_12m_pct,Trp25_hi,P1,-0.098
2,weeks,63,1.3687,0.6437,0.5133,0.7884,sox_spy_ratio_mom_12m_pct,Trp25_hi,P1,-0.098
3,weeks,62,1.2623,0.6577,0.5489,0.8198,sox_spy_ratio_mom_12m_pct,Trp25_hi,P1,-0.098
4,weeks,61,1.4501,0.7409,0.5002,0.8789,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.098
5,weeks,62,1.1939,0.653,0.5035,0.7959,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.1184
6,weeks,63,1.2273,0.6452,0.5221,0.7986,sox_spy_ratio_mom_12m_pct,Tp75_hi,P1,-0.0934
7,weeks,63,1.2104,0.6879,0.5415,0.9052,sox_spy_ratio_mom_3m_pct,Tp25_hi,P1,-0.1179
8,weeks,62,1.4438,0.6597,0.51,0.8766,sox_spy_ratio_mom_12m_pct,Tp75_hi,P1,-0.0811
9,weeks,64,1.0909,0.6365,0.5161,0.8538,sox_spy_ratio_mom_3m_pct,Tz1_hi,P1,-0.0653
10,weeks,62,1.2927,0.6907,0.5605,0.8732,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.1082
11,weeks,66,1.2753,0.7435,0.5471,0.8691,sox_spy_ratio_mom_3m_pct,Trp25_hi,P1,-0.098
12,weeks,67,1.3014,0.6837,0.4978,0.8501,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.1289
13,weeks,69,1.4414,0.7016,0.5516,0.8468,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.098
14,weeks,73,1.1962,0.6683,0.4817,0.7755,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.1021
15,weeks,71,1.3558,0.6393,0.5508,0.7936,sox_spy_ratio_mom_6m_pct,Trp25_hi,P1,-0.1579
16,weeks,68,1.1293,0.6831,0.4716,0.7674,sox_spy_ratio_mom_12m_pct,Trp75_hi,P1,-0.056
