date,rolling_sharpe_24m
1995-02-03,0.042328611443450744
1995-02-06,0.10028025617243734
1995-02-07,0.11600102113724611
1995-02-08,0.08588579493492388
1995-02-09,0.07070705718610107
1995-02-10,0.18840442528613632
1995-02-13,0.16774871204888847
1995-02-14,0.17200210852717682
1995-02-15,0.12635433474701255
1995-02-16,0.07673333531577413
1995-02-17,0.1251364759665915
1995-02-20,0.1251364759665915
1995-02-21,0.09254482287162646
1995-02-22,0.08596877596633282
1995-02-23,0.086450807660759
1995-02-24,0.041384458932183586
1995-02-27,0.07396660188544603
1995-02-28,0.027483721334638493
1995-03-01,0.02808228865052119
1995-03-02,0.06593345403059193
1995-03-03,0.044570725367145854
1995-03-06,0.032747173133334986
1995-03-07,-0.006059100618644551
1995-03-08,0.02741180973444927
1995-03-09,0.1429453358918902
1995-03-10,0.1970519031647182
1995-03-13,0.20753648507702058
1995-03-14,0.22828279224522022
1995-03-15,0.24668310998461848
1995-03-16,0.2129732150906221
1995-03-17,0.14073787999839674
1995-03-20,0.12904824968224257
1995-03-21,0.15095756842757532
1995-03-22,0.1456361898410605
1995-03-23,0.14917223576679128
1995-03-24,0.09242248367507354
1995-03-27,0.14224995363841603
1995-03-28,0.1461656837627385
1995-03-29,0.21599769302452887
1995-03-30,0.22960190313917822
1995-03-31,0.25137884560555696
1995-04-03,0.3271827171617003
1995-04-04,0.35153114555331527
1995-04-05,0.3758659309652716
1995-04-06,0.40462169144072563
1995-04-07,0.4359541730963685
1995-04-10,0.4455400878689098
1995-04-11,0.44226174961269454
1995-04-12,0.4416604853661408
1995-04-13,0.47243963286476726
1995-04-14,0.484431143609067
1995-04-17,0.4752076603726976
1995-04-18,0.4481058538216934
1995-04-19,0.3774369262665949
1995-04-20,0.38214668044365624
1995-04-21,0.4299952861457434
1995-04-24,0.48987023927275586
1995-04-25,0.6293442836273222
1995-04-26,0.640126934507463
1995-04-27,0.5762306502698804
1995-04-28,0.5918432405991542
1995-05-01,0.6193588993190194
1995-05-02,0.6821773494365566
1995-05-03,0.5786532333534388
1995-05-04,0.5549278077727662
1995-05-05,0.5480472908592463
1995-05-08,0.5345247113281734
1995-05-09,0.5372804353233411
1995-05-10,0.5109841331107527
1995-05-11,0.4759946121997531
1995-05-12,0.4529786359375753
1995-05-15,0.37489116902617
1995-05-16,0.39172776270877524
1995-05-17,0.41755575756341856
1995-05-18,0.52154718231843
1995-05-19,0.5260642231096097
1995-05-22,0.4490441791343493
1995-05-23,0.38387341464741315
1995-05-24,0.36766657633693584
1995-05-25,0.3626495267631039
1995-05-26,0.4378581103815405
1995-05-29,0.4378581103815405
1995-05-30,0.38910659838444434
1995-05-31,0.1935743233323663
1995-06-01,0.21217386806267857
1995-06-02,0.15499710357303903
1995-06-05,0.09317278074905759
1995-06-06,0.10297008323306309
1995-06-07,0.11673190221686193
1995-06-08,0.16134704679569215
1995-06-09,0.1282121075311055
1995-06-12,0.18792550690533733
1995-06-13,0.2641949683592731
1995-06-14,0.19660666498357823
1995-06-15,0.20536253674728297
1995-06-16,0.22600489533941204
1995-06-19,0.2847152764974488
1995-06-20,0.25067591195252664
1995-06-21,0.27101576364922036
1995-06-22,0.34352445564680306
1995-06-23,0.32846441700382073
1995-06-26,0.2761456768427011
1995-06-27,0.26101135688896726
1995-06-28,0.2512047715051416
1995-06-29,0.2692172104407767
1995-06-30,0.2975174676605853
1995-07-03,0.31436749425751737
1995-07-04,0.30275069157656953
1995-07-05,0.35489129120839563
1995-07-06,0.4557503270694789
1995-07-07,0.4961816798894234
1995-07-10,0.4969347194788346
1995-07-11,0.470087919965751
1995-07-12,0.3878125245924804
1995-07-13,0.4078006434522749
1995-07-14,0.44363305453805135
1995-07-17,0.40850588979592156
1995-07-18,0.4550786526599547
1995-07-19,0.49837994145919867
1995-07-20,0.48559786638922237
1995-07-21,0.5227864161661653
