signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread,T1_p25,P1,21,0.2565,3.84,-28.32,9.92,2088,True
spread,T1_p25,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T1_p25,P3,21,-0.3704,-7.08,-53.88,19.83,2088,False
spread,T1_p50,P1,21,0.3745,6.58,-33.72,7.1,2088,True
spread,T1_p50,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T1_p50,P3,21,-0.0832,-1.59,-50.75,14.2,2088,False
spread,T1_p75,P1,21,0.6847,12.78,-33.72,6.37,2088,True
spread,T1_p75,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T1_p75,P3,21,0.5659,10.81,-33.72,12.73,2088,True
spread,T2_rp25,P1,21,0.0883,1.14,-33.47,14.44,2088,True
spread,T2_rp25,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T2_rp25,P3,21,-0.6535,-12.48,-72.25,28.87,2088,False
spread,T2_rp50,P1,21,0.0801,1.2,-37.59,15.9,2088,True
spread,T2_rp50,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T2_rp50,P3,21,-0.6466,-12.35,-74.41,31.8,2088,False
spread,T2_rp75,P1,21,0.2803,4.81,-33.73,16.55,2088,True
spread,T2_rp75,P2,21,0.4796,6.79,-27.78,10.91,2088,True
spread,T2_rp75,P3,21,-0.2689,-5.14,-60.57,33.1,2088,False
spread_zscore_252d,T1_p25,P1,0,-0.5297,-4.71,-36.5,13.47,2088,False
spread_zscore_252d,T1_p25,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T1_p25,P3,0,-1.2686,-24.17,-88.79,26.93,2088,False
spread_zscore_252d,T1_p50,P1,0,0.5595,7.42,-30.92,15.34,2088,True
spread_zscore_252d,T1_p50,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T1_p50,P3,0,0.0045,0.09,-59.84,30.69,2088,False
spread_zscore_252d,T1_p75,P1,0,0.6292,9.73,-26.69,13.11,2088,True
spread_zscore_252d,T1_p75,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T1_p75,P3,0,0.246,4.7,-31.64,26.23,2088,False
spread_zscore_252d,T2_rp25,P1,0,-0.1256,-1.17,-23.38,15.4,2088,False
spread_zscore_252d,T2_rp25,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T2_rp25,P3,0,-0.8955,-17.09,-79.84,30.81,2088,False
spread_zscore_252d,T2_rp50,P1,0,0.3156,3.85,-26.08,15.64,2088,True
spread_zscore_252d,T2_rp50,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T2_rp50,P3,0,-0.3687,-7.05,-61.0,31.28,2088,False
spread_zscore_252d,T2_rp75,P1,0,0.5087,7.2,-23.3,17.69,2088,True
spread_zscore_252d,T2_rp75,P2,0,0.7924,8.8,-17.13,10.86,2088,True
spread_zscore_252d,T2_rp75,P3,0,-0.0184,-0.35,-45.1,35.38,2088,False
spread_zscore_252d,T1_p25,P1,1,-0.1836,-1.67,-29.72,13.44,2088,False
spread_zscore_252d,T1_p25,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T1_p25,P3,1,-0.9477,-18.08,-83.61,26.88,2088,False
spread_zscore_252d,T1_p50,P1,1,0.4429,5.91,-36.52,15.34,2088,True
spread_zscore_252d,T1_p50,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T1_p50,P3,1,-0.1531,-2.93,-66.32,30.69,2088,False
spread_zscore_252d,T1_p75,P1,1,0.6872,10.62,-26.22,13.11,2088,True
spread_zscore_252d,T1_p75,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T1_p75,P3,1,0.34,6.5,-36.31,26.23,2088,False
spread_zscore_252d,T2_rp25,P1,1,0.1257,1.16,-19.15,15.37,2088,True
spread_zscore_252d,T2_rp25,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T2_rp25,P3,1,-0.6508,-12.43,-70.95,30.75,2088,False
spread_zscore_252d,T2_rp50,P1,1,0.513,6.26,-25.97,15.64,2088,True
spread_zscore_252d,T2_rp50,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T2_rp50,P3,1,-0.1164,-2.23,-50.26,31.28,2088,False
spread_zscore_252d,T2_rp75,P1,1,0.4892,6.9,-32.26,17.69,2088,True
spread_zscore_252d,T2_rp75,P2,1,0.9306,10.35,-17.08,10.86,2088,True
spread_zscore_252d,T2_rp75,P3,1,-0.05,-0.95,-52.25,35.38,2088,False
spread_zscore_252d,T1_p25,P1,5,0.1668,1.55,-24.25,13.47,2088,True
spread_zscore_252d,T1_p25,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T1_p25,P3,5,-0.6096,-11.64,-69.61,26.93,2088,False
spread_zscore_252d,T1_p50,P1,5,0.4775,6.58,-29.37,15.34,2088,True
spread_zscore_252d,T1_p50,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T1_p50,P3,5,-0.0833,-1.59,-58.08,30.69,2088,False
spread_zscore_252d,T1_p75,P1,5,0.5182,8.43,-27.16,13.11,2088,True
spread_zscore_252d,T1_p75,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T1_p75,P3,5,0.1098,2.1,-37.56,26.23,2088,False
spread_zscore_252d,T2_rp25,P1,5,0.4011,4.14,-18.76,15.34,2088,True
spread_zscore_252d,T2_rp25,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T2_rp25,P3,5,-0.3386,-6.47,-60.87,30.69,2088,False
spread_zscore_252d,T2_rp50,P1,5,0.4751,6.09,-20.12,15.64,2088,True
spread_zscore_252d,T2_rp50,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T2_rp50,P3,5,-0.1349,-2.58,-45.89,31.28,2088,False
spread_zscore_252d,T2_rp75,P1,5,0.4587,6.85,-27.5,17.69,2088,True
spread_zscore_252d,T2_rp75,P2,5,0.8117,9.25,-17.59,10.86,2088,True
spread_zscore_252d,T2_rp75,P3,5,-0.0546,-1.04,-45.53,35.38,2088,False
spread_zscore_252d,T1_p25,P1,10,-0.0319,-0.35,-25.46,13.32,2088,False
spread_zscore_252d,T1_p25,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T1_p25,P3,10,-0.8091,-15.45,-77.93,26.64,2088,False
spread_zscore_252d,T1_p50,P1,10,0.126,1.92,-36.2,15.34,2088,True
spread_zscore_252d,T1_p50,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T1_p50,P3,10,-0.5717,-10.92,-74.05,30.69,2088,False
spread_zscore_252d,T1_p75,P1,10,0.5473,9.42,-29.11,13.11,2088,True
spread_zscore_252d,T1_p75,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T1_p75,P3,10,0.2143,4.1,-39.26,26.23,2088,False
spread_zscore_252d,T2_rp25,P1,10,0.066,0.77,-27.23,15.32,2088,True
spread_zscore_252d,T2_rp25,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T2_rp25,P3,10,-0.6918,-13.21,-75.42,30.63,2088,False
spread_zscore_252d,T2_rp50,P1,10,0.2837,4.09,-30.05,15.58,2088,True
spread_zscore_252d,T2_rp50,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T2_rp50,P3,10,-0.3435,-6.57,-61.82,31.16,2088,False
spread_zscore_252d,T2_rp75,P1,10,0.3226,5.1,-29.11,17.69,2088,True
spread_zscore_252d,T2_rp75,P2,10,0.6203,7.82,-24.9,10.86,2088,True
spread_zscore_252d,T2_rp75,P3,10,-0.238,-4.55,-52.79,35.38,2088,False
spread_zscore_252d,T1_p25,P1,21,-0.1524,-1.82,-33.3,13.26,2088,False
spread_zscore_252d,T1_p25,P2,21,0.5637,7.54,-27.13,10.84,2088,True
spread_zscore_252d,T1_p25,P3,21,-0.9639,-18.39,-83.0,26.52,2088,False
spread_zscore_252d,T1_p50,P1,21,0.287,4.66,-39.05,15.43,2088,True
spread_zscore_252d,T1_p50,P2,21,0.5637,7.54,-27.13,10.84,2088,True
spread_zscore_252d,T1_p50,P3,21,-0.2842,-5.43,-61.83,30.87,2088,False
spread_zscore_252d,T1_p75,P1,21,0.3497,6.24,-33.72,13.06,2088,True
spread_zscore_252d,T1_p75,P2,21,0.5637,7.54,-27.13,10.84,2088,True
spread_zscore_252d,T1_p75,P3,21,-0.1193,-2.28,-52.1,26.11,2088,False
spread_zscore_252d,T2_rp25,P1,21,0.1645,2.0,-23.74,15.2,2088,True
spread_zscore_252d,T2_rp25,P2,21,0.5637,7.54,-27.13,10.84,2088,True
