signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread,T1_p25,P1,0,0.6677,9.24,-24.66,21.42,2088,True
spread,T1_p25,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T1_p25,P3,0,0.195,3.73,-47.21,42.84,2088,False
spread,T1_p50,P1,0,0.683,10.39,-24.5,20.27,2088,True
spread,T1_p50,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T1_p50,P3,0,0.3152,6.02,-44.06,40.55,2088,False
spread,T1_p75,P1,0,0.9244,16.15,-24.5,14.08,2088,True
spread,T1_p75,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T1_p75,P3,0,0.9191,17.54,-24.5,28.17,2088,False
spread,T2_rp25,P1,0,-0.0532,-0.54,-29.11,23.5,2088,False
spread,T2_rp25,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T2_rp25,P3,0,-0.8292,-15.83,-80.49,47.0,2088,False
spread,T2_rp50,P1,0,0.223,2.87,-33.3,28.61,2088,False
spread,T2_rp50,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T2_rp50,P3,0,-0.4714,-9.01,-73.89,57.21,2088,False
spread,T2_rp75,P1,0,0.4092,6.43,-26.96,28.78,2088,False
spread,T2_rp75,P2,0,0.522,6.35,-22.61,13.61,2088,True
spread,T2_rp75,P3,0,-0.0984,-1.88,-53.08,57.56,2088,False
spread,T1_p25,P1,1,0.561,7.81,-24.5,21.42,2088,True
spread,T1_p25,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T1_p25,P3,1,0.0459,0.88,-44.93,42.84,2088,False
spread,T1_p50,P1,1,0.763,11.49,-24.5,20.27,2088,True
spread,T1_p50,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T1_p50,P3,1,0.4311,8.24,-27.63,40.55,2088,False
spread,T1_p75,P1,1,0.9496,16.51,-24.5,14.11,2088,True
spread,T1_p75,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T1_p75,P3,1,0.9578,18.27,-24.5,28.22,2088,False
spread,T2_rp25,P1,1,-0.008,-0.08,-24.53,23.47,2088,False
spread,T2_rp25,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T2_rp25,P3,1,-0.7811,-14.91,-75.36,46.94,2088,False
spread,T2_rp50,P1,1,0.1811,2.32,-27.8,28.61,2088,False
spread,T2_rp50,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T2_rp50,P3,1,-0.5291,-10.11,-73.28,57.21,2088,False
spread,T2_rp75,P1,1,0.5237,8.16,-24.5,28.78,2088,False
spread,T2_rp75,P2,1,0.505,6.11,-21.55,13.61,2088,True
spread,T2_rp75,P3,1,0.0821,1.57,-42.32,57.56,2088,False
spread,T1_p25,P1,5,0.4486,6.27,-26.82,21.42,2088,True
spread,T1_p25,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T1_p25,P3,5,-0.1159,-2.22,-55.16,42.84,2088,False
spread,T1_p50,P1,5,0.8867,13.59,-24.5,20.27,2088,True
spread,T1_p50,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T1_p50,P3,5,0.6503,12.42,-24.5,40.55,2088,False
spread,T1_p75,P1,5,0.9648,16.75,-24.5,14.11,2088,True
spread,T1_p75,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T1_p75,P3,5,0.9831,18.76,-29.05,28.22,2088,False
spread,T2_rp25,P1,5,0.2776,2.77,-22.7,23.44,2088,True
spread,T2_rp25,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T2_rp25,P3,5,-0.4818,-9.21,-69.76,46.89,2088,False
spread,T2_rp50,P1,5,0.2816,3.69,-35.53,28.61,2088,False
spread,T2_rp50,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T2_rp50,P3,5,-0.3859,-7.37,-75.01,57.21,2088,False
spread,T2_rp75,P1,5,0.4803,7.42,-26.82,28.78,2088,False
spread,T2_rp75,P2,5,0.62,7.6,-19.21,13.61,2088,True
spread,T2_rp75,P3,5,0.005,0.1,-55.94,57.56,2088,False
spread,T1_p25,P1,10,0.3622,4.96,-25.29,21.42,2088,True
spread,T1_p25,P2,10,0.3727,4.66,-23.65,13.62,2088,True
spread,T1_p25,P3,10,-0.2523,-4.82,-49.99,42.84,2088,False
