horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.038648,0.020117,-0.000781,0.078077,0.0547,fwd
3,0.015242,0.017223,-0.018514,0.048997,0.3762,fwd
6,0.007074,0.019023,-0.03021,0.044358,0.71,fwd
