tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.013648,,,,
0.1,0.033697,,,,
0.25,0.005642,0.0375,0.8814,-0.070743,0.082027
0.5,0.047884,0.027255,0.0885,-0.007632,0.1034
0.75,0.059786,0.025095,0.0233,0.008668,0.110903
0.9,0.04898,,,,
0.95,0.027303,,,,
