signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
spread,T1_p25,P1,0,0.5908,2.88,-9.53,7.73,783,True
spread,T1_p25,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T1_p25,P3,0,-1.0286,-15.49,-47.06,15.45,783,False
spread,T1_p50,P1,0,0.7164,4.45,-7.58,16.2,783,True
spread,T1_p50,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T1_p50,P3,0,-0.82,-12.36,-44.5,32.4,783,False
spread,T1_p75,P1,0,0.2212,1.49,-10.23,10.47,783,True
spread,T1_p75,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T1_p75,P3,0,-1.2141,-18.27,-51.22,20.94,783,False
spread,T2_rp25,P1,0,0.8211,3.24,-2.65,9.22,783,True
spread,T2_rp25,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T2_rp25,P3,0,-0.9803,-14.77,-40.97,18.45,783,False
spread,T2_rp50,P1,0,0.6411,3.9,-6.7,15.45,783,True
spread,T2_rp50,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T2_rp50,P3,0,-0.8924,-13.45,-46.46,30.91,783,False
spread,T2_rp75,P1,0,0.6498,7.8,-18.76,19.69,783,True
spread,T2_rp75,P2,0,0.9406,8.73,-15.54,9.36,783,True
spread,T2_rp75,P3,0,-0.3749,-5.66,-38.17,39.38,783,False
spread,T1_p25,P1,1,0.8481,4.23,-7.65,7.73,783,True
spread,T1_p25,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T1_p25,P3,1,-0.8496,-12.8,-45.33,15.45,783,False
spread,T1_p50,P1,1,0.7367,4.57,-7.18,16.2,783,True
spread,T1_p50,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T1_p50,P3,1,-0.8043,-12.12,-44.85,32.4,783,False
spread,T1_p75,P1,1,0.477,3.23,-8.66,10.47,783,True
spread,T1_p75,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T1_p75,P3,1,-0.9828,-14.8,-47.51,20.94,783,False
spread,T2_rp25,P1,1,0.9305,3.89,-2.65,9.22,783,True
spread,T2_rp25,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T2_rp25,P3,1,-0.8946,-13.48,-40.97,18.45,783,False
spread,T2_rp50,P1,1,1.0448,6.34,-5.82,15.45,783,True
spread,T2_rp50,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T2_rp50,P3,1,-0.5681,-8.57,-42.9,30.91,783,False
spread,T2_rp75,P1,1,1.0063,11.98,-18.76,19.57,783,True
spread,T2_rp75,P2,1,0.9675,9.16,-15.39,9.33,783,True
spread,T2_rp75,P3,1,0.1787,2.7,-32.87,39.13,783,False
spread,T1_p25,P1,5,0.2547,1.27,-8.07,7.98,783,True
spread,T1_p25,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T1_p25,P3,5,-1.2438,-18.71,-46.87,15.95,783,False
spread,T1_p50,P1,5,0.6392,4.08,-7.75,16.2,783,True
spread,T1_p50,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T1_p50,P3,5,-0.869,-13.09,-44.66,32.4,783,False
spread,T1_p75,P1,5,0.5479,3.87,-10.33,10.47,783,True
spread,T1_p75,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T1_p75,P3,5,-0.897,-13.52,-45.36,20.94,783,False
spread,T2_rp25,P1,5,1.1258,3.49,-2.65,9.1,783,True
spread,T2_rp25,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T2_rp25,P3,5,-0.9477,-14.28,-40.97,18.2,783,False
spread,T2_rp50,P1,5,0.5816,3.53,-10.4,15.33,783,True
spread,T2_rp50,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T2_rp50,P3,5,-0.9423,-14.19,-46.16,30.66,783,False
spread,T2_rp75,P1,5,0.7095,8.37,-19.07,19.57,783,True
spread,T2_rp75,P2,5,0.9033,8.4,-15.96,9.31,783,True
spread,T2_rp75,P3,5,-0.2986,-4.51,-35.45,39.13,783,False
spread,T1_p25,P1,10,0.5051,2.42,-5.82,7.73,783,True
spread,T1_p25,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T1_p25,P3,10,-1.0897,-16.41,-45.73,15.45,783,False
spread,T1_p50,P1,10,0.7456,4.93,-8.16,16.2,783,True
spread,T1_p50,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T1_p50,P3,10,-0.7559,-11.39,-37.64,32.4,783,False
spread,T1_p75,P1,10,0.9145,6.39,-8.66,10.47,783,True
spread,T1_p75,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T1_p75,P3,10,-0.5618,-8.47,-36.01,20.94,783,False
spread,T2_rp25,P1,10,1.3238,3.99,-2.44,8.97,783,True
spread,T2_rp25,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T2_rp25,P3,10,-0.8815,-13.28,-40.97,17.95,783,False
spread,T2_rp50,P1,10,-0.4897,-3.45,-22.12,15.33,783,False
spread,T2_rp50,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T2_rp50,P3,10,-1.8785,-28.15,-60.23,30.66,783,False
spread,T2_rp75,P1,10,1.0925,12.67,-18.76,19.57,783,True
spread,T2_rp75,P2,10,0.8718,8.43,-17.44,9.32,783,True
spread,T2_rp75,P3,10,0.2701,4.08,-19.26,39.13,783,False
spread,T1_p25,P1,21,0.6056,2.96,-5.29,7.98,783,True
spread,T1_p25,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T1_p25,P3,21,-1.0181,-15.33,-48.14,15.95,783,False
spread,T1_p50,P1,21,0.851,5.27,-8.72,16.2,783,True
spread,T1_p50,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T1_p50,P3,21,-0.7112,-10.72,-39.82,32.4,783,False
spread,T1_p75,P1,21,0.7739,5.21,-11.87,10.47,783,True
spread,T1_p75,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T1_p75,P3,21,-0.7186,-10.83,-42.18,20.94,783,False
spread,T2_rp25,P1,21,1.1458,3.0,-1.46,8.72,783,True
spread,T2_rp25,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T2_rp25,P3,21,-1.0131,-15.26,-41.65,17.45,783,False
spread,T2_rp50,P1,21,0.3841,2.9,-17.47,14.96,783,True
spread,T2_rp50,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T2_rp50,P3,21,-1.0257,-15.45,-50.0,29.91,783,False
spread,T2_rp75,P1,21,0.6685,7.87,-18.76,19.44,783,True
spread,T2_rp75,P2,21,0.8452,8.1,-16.38,9.27,783,True
spread,T2_rp75,P3,21,-0.3651,-5.51,-42.96,38.88,783,False
spread_zscore_252d,T1_p25,P1,0,1.4114,6.89,-2.65,7.73,783,True
spread_zscore_252d,T1_p25,P2,0,1.1606,12.01,-16.6,10.98,783,True
spread_zscore_252d,T1_p25,P3,0,-0.4955,-7.47,-40.97,15.45,783,False
spread_zscore_252d,T1_p50,P1,0,0.2714,2.11,-18.47,14.71,783,True
spread_zscore_252d,T1_p50,P2,0,1.1606,12.01,-16.6,10.98,783,True
spread_zscore_252d,T1_p50,P3,0,-1.1313,-17.03,-45.93,29.41,783,False
spread_zscore_252d,T1_p75,P1,0,0.6726,7.62,-18.76,16.95,783,True
spread_zscore_252d,T1_p75,P2,0,1.1606,12.01,-16.6,10.98,783,True
spread_zscore_252d,T1_p75,P3,0,-0.3991,-6.02,-36.9,33.9,783,False
spread_zscore_252d,T2_rp25,P1,0,0.4374,3.3,-16.08,11.47,783,True
spread_zscore_252d,T2_rp25,P2,0,1.1606,12.01,-16.6,10.98,783,True
spread_zscore_252d,T2_rp25,P3,0,-0.9735,-14.66,-39.58,22.93,783,False
spread_zscore_252d,T2_rp50,P1,0,0.5138,5.81,-18.76,14.21,783,True
spread_zscore_252d,T2_rp50,P2,0,1.1606,12.01,-16.6,10.98,783,True
spread_zscore_252d,T2_rp50,P3,0,-0.6384,-9.63,-35.07,28.42,783,False
