lag,f_stat,p_value,direction
1,0.006218789452139505,0.9371852939111265,RSXFS_to_SPY
2,0.4104940678187767,0.6636131689309234,RSXFS_to_SPY
3,0.3801752153690305,0.7673519887318893,RSXFS_to_SPY
4,0.8938840332736214,0.4675954925367647,RSXFS_to_SPY
5,0.8020778909813617,0.5486942322252006,RSXFS_to_SPY
6,0.5933136258966808,0.7357093806244337,RSXFS_to_SPY
7,0.666585096543254,0.7003848861666926,RSXFS_to_SPY
8,0.669521845517997,0.7184091179079334,RSXFS_to_SPY
9,0.5710782455014055,0.8208002474756141,RSXFS_to_SPY
10,0.6830198929208698,0.7403590099857557,RSXFS_to_SPY
11,0.6941149615162594,0.7443112268566794,RSXFS_to_SPY
12,0.8732873034715457,0.5745931780745639,RSXFS_to_SPY
