trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
51,2003-09-08,2003-09-09,Long,88.2,8819.95,68.24,1,-0.58,S6_hmm_stress,T4_hmm_0.5,P2
52,2003-09-09,2003-09-23,Long,96.13,9613.44,67.79,14,0.35,S6_hmm_stress,T4_hmm_0.5,P2
53,2003-09-23,2003-09-24,Long,82.21,8221.32,68.01,1,-1.46,S6_hmm_stress,T4_hmm_0.5,P2
54,2003-09-24,2003-09-25,Long,46.78,4677.62,66.8,1,-0.38,S6_hmm_stress,T4_hmm_0.5,P2
55,2003-09-25,2003-09-26,Long,14.45,1445.12,66.25,1,-0.05,S6_hmm_stress,T4_hmm_0.5,P2
56,2003-09-26,2003-10-06,Long,3.06,306.22,66.03,10,0.04,S6_hmm_stress,T4_hmm_0.5,P2
57,2003-10-06,2003-10-07,Long,32.98,3298.16,68.62,1,0.13,S6_hmm_stress,T4_hmm_0.5,P2
58,2003-10-07,2003-10-08,Long,46.27,4627.09,68.88,1,-0.12,S6_hmm_stress,T4_hmm_0.5,P2
59,2003-10-08,2003-10-09,Long,81.7,8169.72,68.71,1,0.22,S6_hmm_stress,T4_hmm_0.5,P2
60,2003-10-09,2003-10-10,Long,92.72,9271.91,68.89,1,0.26,S6_hmm_stress,T4_hmm_0.5,P2
61,2003-10-10,2006-06-08,Long,98.46,9846.42,69.09,972,25.75,S6_hmm_stress,T4_hmm_0.5,P2
62,2006-06-08,2006-06-09,Long,86.12,8611.94,86.92,1,-0.27,S6_hmm_stress,T4_hmm_0.5,P2
63,2006-06-09,2006-06-12,Long,17.98,1798.02,86.64,3,-0.2,S6_hmm_stress,T4_hmm_0.5,P2
64,2006-06-12,2006-06-14,Cash,0.0,0.0,85.7,2,0.0,S6_hmm_stress,T4_hmm_0.5,P2
65,2006-06-14,2006-06-15,Long,37.15,3715.35,85.36,1,0.79,S6_hmm_stress,T4_hmm_0.5,P2
66,2006-06-15,2007-02-27,Long,95.93,9593.08,87.17,257,12.27,S6_hmm_stress,T4_hmm_0.5,P2
67,2007-02-27,2007-02-28,Long,87.8,8780.14,97.81,1,0.9,S6_hmm_stress,T4_hmm_0.5,P2
68,2007-02-28,2007-07-10,Long,99.35,9935.14,98.82,132,7.97,S6_hmm_stress,T4_hmm_0.5,P2
69,2007-07-10,2007-07-11,Long,90.85,9084.82,106.7,1,0.64,S6_hmm_stress,T4_hmm_0.5,P2
70,2007-07-11,2007-07-18,Long,99.23,9922.51,107.45,7,1.62,S6_hmm_stress,T4_hmm_0.5,P2
71,2007-07-18,2007-07-19,Long,88.72,8872.48,109.21,1,0.34,S6_hmm_stress,T4_hmm_0.5,P2
