lag,f_statistic,p_value,df_num,df_den
1,0.0628,0.8023,312,1
2,0.2335,0.7919,309,2
3,0.1688,0.9174,306,3
4,0.166,0.9555,303,4
5,0.1857,0.9679,300,5
6,0.1435,0.9902,297,6
7,0.7832,0.6018,294,7
8,1.1775,0.3124,291,8
9,1.058,0.3941,288,9
10,1.1948,0.294,285,10
11,1.2523,0.2522,282,11
12,1.3625,0.1835,279,12
