date,rolling_sharpe_24m
2001-12-11,-0.08475108009777288
2001-12-12,-0.08475106344227612
2001-12-13,-0.08475264622947443
2001-12-14,-0.08475944984561413
2001-12-17,-0.08473698861020915
2001-12-18,-0.08472920886930758
2001-12-19,-0.08475669801841988
2001-12-20,-0.08489542478044944
2001-12-21,-0.0848943499534616
2001-12-24,-0.08455335233816122
2001-12-25,-0.084785328910799
2001-12-26,-0.08450656019835678
2001-12-27,-0.08447576075675041
2001-12-28,-0.08424378772527548
2001-12-31,-0.08428408601592072
2002-01-01,-0.08428056091450824
2002-01-02,-0.08427715041159797
2002-01-03,-0.08426966011093348
2002-01-04,-0.08426035479394846
2002-01-07,-0.08429945516379303
2002-01-08,-0.08430743265968249
2002-01-09,-0.08433572422167053
2002-01-10,-0.08432593136723063
2002-01-11,-0.08433805646832288
2002-01-14,-0.0843461060632854
2002-01-15,-0.08429772455592398
2002-01-16,-0.08430440719368543
2002-01-17,-0.08429620043084178
2002-01-18,-0.0842986256379695
2002-01-21,-0.084299311596837
2002-01-22,-0.08430145073374244
2002-01-23,-0.08429746548381069
2002-01-24,-0.08428652456733814
2002-01-25,-0.08428802683137672
2002-01-28,-0.0842717027261601
2002-01-29,-0.08441359996278887
2002-01-30,-0.08441194068392695
2002-01-31,-0.0844100879882721
2002-02-01,-0.0844106716369703
2002-02-04,-0.08442499054333157
2002-02-05,-0.08443544056129564
2002-02-06,-0.08444384722988771
2002-02-07,-0.0849345711655463
2002-02-08,-0.08457733374661897
2002-02-11,-0.08430301945954756
2002-02-12,-0.08430907604009082
2002-02-13,-0.08428729873723599
2002-02-14,-0.08428614298985075
2002-02-15,-0.0842785423867823
2002-02-18,-0.08426584206268875
2002-02-19,-0.08428962063172117
2002-02-20,-0.08435860369733525
2002-02-21,-0.08439404381381693
2002-02-22,-0.08438051664688098
2002-02-25,-0.08439950066668164
2002-02-26,-0.08442090963871701
2002-02-27,-0.0844659739527571
2002-02-28,-0.08448308803186773
2002-03-01,-0.08447615770032853
2002-03-04,-0.08447430105712583
2002-03-05,-0.08448349384411857
2002-03-06,-0.08443136206022762
2002-03-07,-0.08444383068039628
2002-03-08,-0.0844422804480909
2002-03-11,-0.08366648285006018
2002-03-12,-0.08679042407008629
2002-03-13,-0.15441861380160182
2002-03-14,-0.16505735704230237
2002-03-15,-0.08915700886383793
2002-03-18,-0.08752980411888293
2002-03-19,-0.02222385243681074
2002-03-20,-0.1993814183083833
2002-03-21,-0.19527085436836114
2002-03-22,-0.21571903038225837
2002-03-25,-0.3288684542850214
2002-03-26,-0.2738075061547711
2002-03-27,-0.24921292784487625
2002-03-28,-0.2532719388613879
2002-03-29,-0.25327183023965694
2002-04-01,-0.24920302296062125
2002-04-02,-0.29956328920817227
2002-04-03,-0.3631731988959872
2002-04-04,-0.4009548572151946
2002-04-05,-0.39931869635078593
2002-04-08,-0.3795137782292675
2002-04-09,-0.4422319865382391
2002-04-10,-0.3345444710092598
2002-04-11,-0.5340223432382889
2002-04-12,-0.46703746660962575
2002-04-15,-0.5305432894258965
2002-04-16,-0.31350253867300987
2002-04-17,-0.33087971643742453
2002-04-18,-0.36615852142281236
2002-04-19,-0.3359123247667529
2002-04-22,-0.46312670885965057
2002-04-23,-0.4953870930998394
2002-04-24,-0.5575254450403756
2002-04-25,-0.5548132470071376
2002-04-26,-0.6098895525140703
2002-04-29,-0.614070902565986
2002-04-30,-0.6140251931338556
2002-05-01,-0.6140240145102605
2002-05-02,-0.6141706611675727
2002-05-03,-0.6147699133361167
2002-05-06,-0.6158413419543454
2002-05-07,-0.6160287130587244
2002-05-08,-0.6130177418398721
2002-05-09,-0.6147941162518932
2002-05-10,-0.6230722569998555
2002-05-13,-0.6049207386175198
2002-05-14,-0.5251612560503832
2002-05-15,-0.5466173404700853
2002-05-16,-0.5091137695132494
2002-05-17,-0.4715714292842802
2002-05-20,-0.5527010419112531
2002-05-21,-0.6210919465161068
2002-05-22,-0.6036947840689129
2002-05-23,-0.5164914133094699
2002-05-24,-0.6106751825830703
2002-05-27,-0.6104123882980588
2002-05-28,-0.6496224608570976
2002-05-29,-0.693725686826964
2002-05-30,-0.704758182906473
2002-05-31,-0.7016351370765151
2002-06-03,-0.6979920304683238
2002-06-04,-0.7034551554761175
2002-06-05,-0.6603153210941698
2002-06-06,-0.7094603985615769
2002-06-07,-0.8158058582299164
2002-06-10,-0.8158051878088661
2002-06-11,-0.6914225835789334
2002-06-12,-0.7549742905425744
2002-06-13,-0.8964228109474577
2002-06-14,-0.8829334315638473
2002-06-17,-0.9003188806200991
2002-06-18,-0.956074964438625
2002-06-19,-0.9932108038639755
2002-06-20,-1.0801593972368007
2002-06-21,-1.0667801455315373
2002-06-24,-1.0041063852240713
2002-06-25,-0.9418942267645602
2002-06-26,-1.071378464471288
2002-06-27,-0.9326261153601029
2002-06-28,-0.8854182657707863
2002-07-01,-0.9137538870768506
2002-07-02,-0.8351747350358337
2002-07-03,-0.8060065780173702
2002-07-04,-0.634236654052284
2002-07-05,-0.6943626084692569
2002-07-08,-0.7523428730226825
2002-07-09,-0.7996225673718879
2002-07-10,-0.8664516274535086
2002-07-11,-0.9180877818592539
2002-07-12,-1.0412664936094347
2002-07-15,-1.0781709502871257
2002-07-16,-1.0055995377940572
2002-07-17,-0.9616757232519161
2002-07-18,-1.0078915104692243
2002-07-19,-1.145013191962163
2002-07-22,-1.1370352911593622
2002-07-23,-1.104058875384957
2002-07-24,-1.217808076038964
2002-07-25,-1.186615738433107
2002-07-26,-1.2430074364171322
2002-07-29,-1.2270722900604158
2002-07-30,-1.2676299551898866
2002-07-31,-1.2992908144707274
2002-08-01,-1.295262900284872
2002-08-02,-1.3302105167187577
2002-08-05,-1.3322399433154555
2002-08-06,-1.249145175690196
2002-08-07,-1.4054816398528975
2002-08-08,-1.4159976077365846
2002-08-09,-1.4159976077365846
2002-08-12,-1.343939788236044
2002-08-13,-1.2451625012506737
2002-08-14,-1.3435316947515135
2002-08-15,-1.2790447461632828
2002-08-16,-1.2641260116575825
2002-08-19,-1.1948819095244754
2002-08-20,-1.2233396753356294
2002-08-21,-1.2796758764360727
2002-08-22,-1.1095939093558997
2002-08-23,-1.018415017734194
2002-08-26,-1.1298369335658176
2002-08-27,-1.0559240785329953
2002-08-28,-0.9191357145039608
2002-08-29,-1.13357576412825
2002-08-30,-1.0811924561817365
2002-09-02,-1.020963683560996
2002-09-03,-1.0363187446623183
2002-09-04,-1.0619651498051106
2002-09-05,-1.0450371315334768
2002-09-06,-1.047253516930993
2002-09-09,-1.0390213887246542
2002-09-10,-1.0425383960657304
2002-09-11,-1.0433948583760277
2002-09-12,-1.0407182795816283
2002-09-13,-1.0405381769621729
2002-09-16,-1.0405157395776792
2002-09-17,-1.0405151624483533
2002-09-18,-1.0405151453138557
2002-09-19,-1.0405151454731647
2002-09-20,-1.0405151486050324
2002-09-23,-1.0405150904455915
2002-09-24,-1.0405150902632225
2002-09-25,-1.0405150939278125
2002-09-26,-1.0405152625209575
2002-09-27,-1.0405157493076689
2002-09-30,-1.0405153156303395
2002-10-01,-1.0405138404458527
2002-10-02,-1.0405138459352377
2002-10-03,-1.0405138492378994
2002-10-04,-1.0405138937032743
2002-10-07,-1.04051416752888
2002-10-08,-1.0405141077233462
2002-10-09,-1.0405142343017832
2002-10-10,-1.040514318022447
2002-10-11,-1.040515281217113
2002-10-14,-1.0405152652054301
2002-10-15,-1.040514145599336
2002-10-16,-1.040514092274956
2002-10-17,-1.0405140613277186
2002-10-18,-1.040514059491673
2002-10-21,-1.040514061840255
2002-10-22,-1.040514072748543
2002-10-23,-1.0405139370229617
2002-10-24,-1.0405137385928789
2002-10-25,-1.04051293377969
2002-10-28,-1.0405129385475433
2002-10-29,-1.0405129282146905
2002-10-30,-1.0405129282138312
2002-10-31,-1.040512944834097
2002-11-01,-1.0405130301308736
2002-11-04,-1.0405129801381037
2002-11-05,-1.0405129789258956
2002-11-06,-1.0405129784493574
2002-11-07,-1.0405129785117135
2002-11-08,-1.0405129805274353
2002-11-11,-1.0405130039341919
2002-11-12,-1.040512286545364
2002-11-13,-1.040511730232005
2002-11-14,-1.0405117980652945
2002-11-15,-1.040530292474589
2002-11-18,-1.040529651230053
2002-11-19,-1.040529491653494
2002-11-20,-1.040528061963696
2002-11-21,-1.040527202930533
2002-11-22,-1.0405272353502304
2002-11-25,-1.0405271866540937
2002-11-26,-1.0405289692228816
2002-11-27,-1.0405288578071241
2002-11-28,-1.0405288586704384
2002-11-29,-1.0405288639792325
2002-12-02,-1.0405288733606401
2002-12-03,-1.0405288743511945
2002-12-04,-1.0405288762493552
2002-12-05,-1.0405288349469908
2002-12-06,-1.0405288348800514
2002-12-09,-1.040528780591063
2002-12-10,-1.040528780547159
2002-12-11,-1.0405287804646166
2002-12-12,-1.0405286969824006
2002-12-13,-1.0405287181701475
2002-12-16,-1.0405287155295901
2002-12-17,-1.0405287295686612
2002-12-18,-1.0405287763734912
2002-12-19,-1.0405287786449036
2002-12-20,-1.0405287785438757
