signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T3_z2.5,P2,1,0.8035,0.090763,-0.227826,0.5304,437,4.32,True,1712
S1_spread_level,T3_z2.5,P3,1,0.6505,0.128733,-0.273729,0.5298,49,3.6,True,1712
S1_spread_level,T1_p75,P1,5,0.6662,0.123146,-0.296382,0.5158,63,2.31,True,1712
S1_spread_level,T1_p75,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T1_p75,P3,5,0.4318,0.085495,-0.464598,0.5275,63,4.63,True,1712
S1_spread_level,T1_p85,P1,5,0.821,0.160587,-0.337173,0.531,31,1.14,True,1712
S1_spread_level,T1_p85,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T1_p85,P3,5,0.8107,0.160376,-0.337173,0.5333,31,2.28,True,1712
S1_spread_level,T1_p95,P1,5,0.8129,0.160798,-0.337173,0.5333,17,0.62,True,1712
S1_spread_level,T1_p95,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T1_p95,P3,5,0.8129,0.160798,-0.337173,0.5333,17,1.25,True,1712
S1_spread_level,T2_rp75,P1,5,0.3329,0.04604,-0.311323,0.3978,125,4.59,True,1712
S1_spread_level,T2_rp75,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T2_rp75,P3,5,-0.347,-0.068718,-0.627017,0.5012,125,9.18,False,1712
S1_spread_level,T2_rp85,P1,5,0.6838,0.103559,-0.251053,0.4638,133,4.88,True,1712
S1_spread_level,T2_rp85,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T2_rp85,P3,5,0.2339,0.046321,-0.356508,0.5158,133,9.77,True,1712
S1_spread_level,T2_rp95,P1,5,1.0315,0.170651,-0.247953,0.5146,97,3.56,True,1712
S1_spread_level,T2_rp95,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T2_rp95,P3,5,0.9128,0.180505,-0.252994,0.5345,97,7.12,True,1712
S1_spread_level,T3_z1.5,P1,5,0.7628,0.120768,-0.282492,0.4895,107,3.93,True,1712
S1_spread_level,T3_z1.5,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T3_z1.5,P3,5,0.4077,0.080738,-0.369739,0.5245,107,7.86,True,1712
S1_spread_level,T3_z2.0,P1,5,0.9752,0.160333,-0.247953,0.5105,73,2.68,True,1712
S1_spread_level,T3_z2.0,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T3_z2.0,P3,5,0.8081,0.159869,-0.31595,0.5327,73,5.36,True,1712
S1_spread_level,T3_z2.5,P1,5,0.8445,0.144241,-0.243701,0.5164,49,1.8,True,1712
S1_spread_level,T3_z2.5,P2,5,0.7789,0.093135,-0.223905,0.5315,437,4.32,True,1712
S1_spread_level,T3_z2.5,P3,5,0.6451,0.127684,-0.390091,0.5333,49,3.6,True,1712
S1_spread_level,T1_p75,P1,10,0.6813,0.129432,-0.337173,0.5158,63,2.31,True,1712
S1_spread_level,T1_p75,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T1_p75,P3,10,0.4953,0.098065,-0.416543,0.5275,63,4.63,True,1712
S1_spread_level,T1_p85,P1,10,0.7601,0.148084,-0.337173,0.5298,31,1.14,True,1712
S1_spread_level,T1_p85,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T1_p85,P3,10,0.6841,0.13537,-0.348786,0.5315,31,2.28,True,1712
S1_spread_level,T1_p95,P1,10,0.8129,0.160798,-0.337173,0.5333,17,0.62,True,1712
S1_spread_level,T1_p95,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T1_p95,P3,10,0.8129,0.160798,-0.337173,0.5333,17,1.25,True,1712
S1_spread_level,T2_rp75,P1,10,0.334,0.048042,-0.268698,0.396,125,4.59,True,1712
S1_spread_level,T2_rp75,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T2_rp75,P3,10,-0.3268,-0.064714,-0.504215,0.4965,125,9.18,False,1712
S1_spread_level,T2_rp85,P1,10,0.6498,0.102838,-0.255488,0.4638,133,4.88,True,1712
S1_spread_level,T2_rp85,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T2_rp85,P3,10,0.2266,0.044878,-0.354723,0.5146,133,9.77,True,1712
S1_spread_level,T2_rp95,P1,10,0.6275,0.108264,-0.30614,0.5088,97,3.56,True,1712
S1_spread_level,T2_rp95,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T2_rp95,P3,10,0.2814,0.055729,-0.418331,0.5239,97,7.12,True,1712
S1_spread_level,T3_z1.5,P1,10,0.6098,0.101941,-0.284333,0.4895,107,3.93,True,1712
S1_spread_level,T3_z1.5,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T3_z1.5,P3,10,0.2175,0.043084,-0.473013,0.5251,107,7.86,True,1712
S1_spread_level,T3_z2.0,P1,10,0.5683,0.097721,-0.312815,0.5047,73,2.68,True,1712
S1_spread_level,T3_z2.0,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T3_z2.0,P3,10,0.1749,0.034645,-0.502482,0.5216,73,5.36,True,1712
S1_spread_level,T3_z2.5,P1,10,0.6658,0.118471,-0.284496,0.5123,49,1.8,True,1712
S1_spread_level,T3_z2.5,P2,10,0.6539,0.082323,-0.232548,0.5298,436,4.32,True,1712
S1_spread_level,T3_z2.5,P3,10,0.3845,0.076143,-0.390805,0.5251,49,3.6,True,1712
S1_spread_level,T1_p75,P1,21,0.7511,0.144444,-0.337173,0.5152,63,2.31,True,1712
S1_spread_level,T1_p75,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T1_p75,P3,21,0.6472,0.128089,-0.337173,0.5269,63,4.63,True,1712
S1_spread_level,T1_p85,P1,21,0.821,0.161784,-0.337173,0.531,31,1.14,True,1712
S1_spread_level,T1_p85,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T1_p85,P3,21,0.8229,0.162771,-0.337173,0.5333,31,2.28,True,1712
S1_spread_level,T1_p95,P1,21,0.8129,0.160798,-0.337173,0.5333,17,0.62,True,1712
S1_spread_level,T1_p95,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T1_p95,P3,21,0.8129,0.160798,-0.337173,0.5333,17,1.25,True,1712
S1_spread_level,T2_rp75,P1,21,0.3123,0.051482,-0.370024,0.3984,124,4.55,True,1712
S1_spread_level,T2_rp75,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T2_rp75,P3,21,-0.292,-0.057834,-0.608899,0.5006,124,9.11,False,1712
S1_spread_level,T2_rp85,P1,21,0.3704,0.065989,-0.334726,0.4609,131,4.81,True,1712
S1_spread_level,T2_rp85,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T2_rp85,P3,21,-0.1455,-0.028821,-0.570466,0.5105,131,9.62,False,1712
S1_spread_level,T2_rp95,P1,21,0.6128,0.11592,-0.337173,0.5099,97,3.56,True,1712
S1_spread_level,T2_rp95,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T2_rp95,P3,21,0.3587,0.071041,-0.464097,0.5257,97,7.12,True,1712
S1_spread_level,T3_z1.5,P1,21,0.5525,0.100742,-0.337173,0.4883,107,3.93,True,1712
S1_spread_level,T3_z1.5,P2,21,0.5877,0.080904,-0.238416,0.5304,432,4.31,True,1712
S1_spread_level,T3_z1.5,P3,21,0.2054,0.040686,-0.465334,0.5234,107,7.86,True,1712
S1_spread_level,T3_z2.0,P1,21,0.6544,0.122504,-0.337173,0.507,73,2.68,True,1712
