lead_days,best_oos_sharpe,best_signal,best_threshold,best_strategy
0,1.4083,S6_hmm_stress,T4_hmm_0.5,P2
1,1.1804,S12_mom_252d,T1_p75,P2
5,1.1653,S2a_zscore_252d,T2_rp95,P1
21,0.9641,S13_acceleration,T1_p75,P2
63,0.9632,S5_ccc_bb_spread,T3_z1.5,P1
126,0.8795,S3a_pctrank_504d,T1_p95,P3
252,0.9529,S3a_pctrank_504d,T3_z1.5,P1
