quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,79,0.187309,0.109479,1.7109,-0.129864
Q2,79,0.183468,0.109772,1.6714,-0.083258
Q3,79,0.088586,0.141604,0.6256,-0.312878
Q4,79,-0.101997,0.209683,-0.4864,-0.674705
