signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,n_trades,valid,lead_source
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,1,0.6505,-0.273729,49,True,pipeline
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,5,0.6662,-0.296382,63,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,5,0.4318,-0.464598,63,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,5,0.821,-0.337173,31,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,5,0.8107,-0.337173,31,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,5,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,5,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,5,0.3329,-0.311323,125,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,5,0.6838,-0.251053,133,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T2_rp85,P3,hy_ig_spread_pct,5,0.2339,-0.356508,133,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,5,1.0315,-0.247953,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,5,0.9128,-0.252994,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,5,0.7628,-0.282492,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T3_z1.5,P3,hy_ig_spread_pct,5,0.4077,-0.369739,107,True,pipeline
S1_spread_level,T3_z2.0,P1,hy_ig_spread_pct,5,0.9752,-0.247953,73,True,pipeline
S1_spread_level,T3_z2.0,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T3_z2.0,P3,hy_ig_spread_pct,5,0.8081,-0.31595,73,True,pipeline
S1_spread_level,T3_z2.5,P1,hy_ig_spread_pct,5,0.8445,-0.243701,49,True,pipeline
S1_spread_level,T3_z2.5,P2,hy_ig_spread_pct,5,0.7789,-0.223905,437,True,pipeline
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,5,0.6451,-0.390091,49,True,pipeline
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,21,0.7511,-0.337173,63,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,21,0.6472,-0.337173,63,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,21,0.821,-0.337173,31,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,21,0.8229,-0.337173,31,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,21,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,21,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,21,0.3123,-0.370024,124,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,21,0.3704,-0.334726,131,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,21,0.6128,-0.337173,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,21,0.3587,-0.464097,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,21,0.5525,-0.337173,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T3_z1.5,P3,hy_ig_spread_pct,21,0.2054,-0.465334,107,True,pipeline
S1_spread_level,T3_z2.0,P1,hy_ig_spread_pct,21,0.6544,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.0,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T3_z2.0,P3,hy_ig_spread_pct,21,0.4253,-0.420939,73,True,pipeline
S1_spread_level,T3_z2.5,P1,hy_ig_spread_pct,21,0.647,-0.337173,49,True,pipeline
S1_spread_level,T3_z2.5,P2,hy_ig_spread_pct,21,0.5877,-0.238416,432,True,pipeline
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,21,0.4338,-0.445177,49,True,pipeline
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,63,0.7667,-0.337173,71,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,63,0.6981,-0.337173,71,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,63,0.8027,-0.337173,29,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,63,0.7919,-0.337173,29,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,63,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,63,0.8129,-0.337173,17,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,63,0.7343,-0.294117,121,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T2_rp75,P3,hy_ig_spread_pct,63,0.476,-0.324248,121,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,63,0.6925,-0.356115,125,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T2_rp85,P3,hy_ig_spread_pct,63,0.4896,-0.38665,125,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,63,0.7064,-0.337173,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,63,0.5666,-0.337173,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,63,0.7414,-0.337173,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T3_z1.5,P3,hy_ig_spread_pct,63,0.6071,-0.337173,107,True,pipeline
S1_spread_level,T3_z2.0,P1,hy_ig_spread_pct,63,0.6989,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.0,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T3_z2.0,P3,hy_ig_spread_pct,63,0.5512,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.5,P1,hy_ig_spread_pct,63,0.7313,-0.337173,49,True,pipeline
S1_spread_level,T3_z2.5,P2,hy_ig_spread_pct,63,0.7587,-0.225188,425,True,pipeline
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,63,0.6176,-0.337173,49,True,pipeline
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,126,0.7704,-0.337173,63,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,126,0.7045,-0.337173,63,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,126,0.8166,-0.337173,27,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,126,0.8187,-0.337173,27,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,126,0.8129,-0.337173,15,True,pipeline
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,126,0.8129,-0.337173,15,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,126,0.4618,-0.28319,119,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,126,0.6514,-0.299693,125,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T2_rp85,P3,hy_ig_spread_pct,126,0.4015,-0.307279,125,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,126,0.7742,-0.337173,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,126,0.7011,-0.339174,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,126,0.6715,-0.337173,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T3_z1.5,P3,hy_ig_spread_pct,126,0.4809,-0.339174,107,True,pipeline
S1_spread_level,T3_z2.0,P1,hy_ig_spread_pct,126,0.7522,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.0,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T3_z2.0,P3,hy_ig_spread_pct,126,0.6561,-0.337173,73,True,pipeline
S1_spread_level,T3_z2.5,P1,hy_ig_spread_pct,126,0.8129,-0.337173,49,True,pipeline
S1_spread_level,T3_z2.5,P2,hy_ig_spread_pct,126,0.6591,-0.240421,423,True,pipeline
S1_spread_level,T3_z2.5,P3,hy_ig_spread_pct,126,0.7819,-0.337173,49,True,pipeline
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,252,0.7666,-0.337173,61,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,252,0.7099,-0.337173,61,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,252,0.7848,-0.337173,31,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,252,0.5635,-0.236824,414,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,252,0.7554,-0.337173,31,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,252,0.8129,-0.337173,17,True,pipeline
