period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,-0.033,0.0554,-0.5966,697,-0.1344
GFC,2007-12-01,2009-06-30,False,-0.0024,0.0392,-0.062,412,-0.0396
COVID,2020-02-01,2020-12-31,True,0.0062,0.0416,0.1494,239,-0.0442
2022 Rates Shock,2022-01-01,2022-12-31,True,-0.036,0.029,-1.2408,260,-0.0424
Full OOS,2019-10-01,2026-04-22,True,0.1172,0.0832,1.4083,1712,-0.085
