horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,-0.002472,0.001671,-0.005748,0.000803,0.139031,fwd
3,-0.007486,0.002957,-0.013281,-0.001691,0.011339,fwd
6,-0.011267,0.004172,-0.019444,-0.003089,0.006925,fwd
12,-0.010871,0.005994,-0.02262,0.000877,0.06974,fwd
