tau,coef,se,p_value,ci_lower,ci_upper
0.05,-0.014532,0.010497,0.167057,-0.03517,0.006107
0.1,-0.013396,0.008868,0.131701,-0.030831,0.004039
0.25,-0.007758,0.004159,0.062874,-0.015936,0.000419
0.5,-0.007649,0.002987,0.01082,-0.013522,-0.001776
0.75,-0.005125,0.002923,0.080367,-0.010872,0.000622
0.9,0.000111,0.004259,0.979133,-0.008261,0.008484
0.95,-0.002786,0.005499,0.612784,-0.013598,0.008027
