direction,lag,f_statistic,p_value,significant
UMCSENT->XLV,1,0.8921,0.3457,False
UMCSENT->XLV,2,1.0109,0.3651,False
UMCSENT->XLV,3,0.959,0.4124,False
UMCSENT->XLV,4,0.8328,0.5052,False
UMCSENT->XLV,5,0.9403,0.4551,False
UMCSENT->XLV,6,1.1793,0.3172,False
XLV->UMCSENT,1,11.3547,0.0008,True
XLV->UMCSENT,2,6.3949,0.0019,True
XLV->UMCSENT,3,4.3283,0.0052,True
XLV->UMCSENT,4,3.8525,0.0045,True
XLV->UMCSENT,5,3.0688,0.0102,True
XLV->UMCSENT,6,3.3432,0.0033,True
