parameter,value,se
p[0->0],0.15824922363928262,
p[1->0],0.08228139246289298,
const[0],91.55272072810175,
const[1],-18.340279586511766,
x1[0],91.55272072810175,
x1[1],-18.340279586511766,
x2[0],984.4239868229602,
x2[1],-146.64908929192725,
sigma2[0],58548.250797741435,
sigma2[1],3075.495185138362,
