signal,signal_col,forward_return,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_1d,676,0.003717195446948197,0.9231484498034652,0.019945631993420868,0.6046828181462943,0.012398667991882554,0.6307492189619662
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_5d,672,0.016816729640586895,0.6634472853265648,0.027849195318728263,0.4710760107539074,0.020122760583423716,0.43631533450424587
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_21d,656,0.09113055499312528,0.01957013874823383,-0.010113890226906246,0.795978946396487,-0.009734230789857447,0.70985557558043
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_63d,614,0.25764186831641134,9.12209136620195e-11,0.13807621973341763,0.0006016522068974381,0.09471453324027022,0.00046283566213021566
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_126d,551,0.3829963565154115,1.0805550929983813e-20,0.3119947511718274,6.638652331229736e-14,0.2229997988615076,5.787704944911044e-15
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_252d,425,0.001830812219549156,0.9699810677627629,-0.12486795235339303,0.00997399895299679,-0.09290533631433892,0.004328463759711854
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_1d,634,0.06206638574194362,0.11847348385358196,0.08203243164410143,0.038929724315156344,0.057078794408385106,0.03198139454392933
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_5d,630,0.15060626663523188,0.000148034860651076,0.1465128624928015,0.00022419117462378895,0.10399882072465942,9.70009062701927e-05
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_21d,614,0.27912717757595595,1.883345368115689e-12,0.20085621455426697,5.218329470097539e-07,0.13840678867300926,3.0358260219477897e-07
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_63d,572,0.4780410095895244,5.355960831437773e-34,0.4416402622958523,1.0480902941151908e-28,0.30229431189962047,3.664436388861072e-27
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_126d,509,0.4902608608393253,3.89801663432361e-32,0.4329172810861664,1.149774520888679e-24,0.30584821303104126,7.179266036170006e-25
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_252d,383,0.20483449997057293,5.379685986533629e-05,0.07168330337254751,0.16148752679291517,0.03828355025096542,0.2641911539749726
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_1d,445,0.02366589131354257,0.6185558602801619,0.00677908142992924,0.8866027022488283,0.002576614126369439,0.9354083854675468
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_5d,441,0.07048168333755309,0.1394739587349199,0.07121722235555229,0.13538130093548353,0.045918329374388465,0.1502076380539206
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_21d,425,0.17931577899527879,0.00020243036855405858,0.08980602037353215,0.06435897875247257,0.05885757623532767,0.07026083807073409
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_63d,383,0.5517159518583992,6.879434125578157e-32,0.5548471345110445,2.6424692209320056e-32,0.4000360722019995,1.7749327103106046e-31
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_126d,320,0.7210383976753034,1.3287566729071442e-52,0.628639274198482,1.3416825528654839e-36,0.5064417075451306,1.6751959288593642e-41
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_252d,194,0.39558075209090054,1.1379117985435257e-08,0.2821914016335659,6.708526601269198e-05,0.195494295623746,5.3343008848059086e-05
Spread Acceleration,hy_ig_acceleration,spy_fwd_1d,655,-0.022847914178067214,0.5594186534671536,-0.006201375468490556,0.8741337543135793,-0.00508391190855907,0.8457882098598961
Spread Acceleration,hy_ig_acceleration,spy_fwd_5d,651,-0.06133701638725254,0.11794435225509661,-0.020251336720926823,0.6060173696818549,-0.015016093735968199,0.566542927583852
Spread Acceleration,hy_ig_acceleration,spy_fwd_21d,635,-0.10125164208810201,0.010680019893859733,-0.09120628110358733,0.021528228207623002,-0.06676304311189521,0.011848850394127211
Spread Acceleration,hy_ig_acceleration,spy_fwd_63d,593,-0.009703629536943903,0.8135833762632785,0.008639964238343293,0.8337013391265876,0.006677073481991273,0.8078694440102616
Spread Acceleration,hy_ig_acceleration,spy_fwd_126d,530,0.08143807339016305,0.060995020839863724,0.17866508796175676,3.521848574626653e-05,0.12465090400082997,1.784288426638588e-05
Spread Acceleration,hy_ig_acceleration,spy_fwd_252d,404,-0.05918076270583902,0.23527755682420262,-0.02133021505058848,0.6690499659810346,-0.015957152772533827,0.6319218046837207
CCC-BB Spread,ccc_bb_spread,spy_fwd_1d,697,0.07920727207553206,0.0365581794625319,0.08777816352472154,0.02046423493086637,0.06019370891232885,0.01763927449479406
CCC-BB Spread,ccc_bb_spread,spy_fwd_5d,693,0.21777094529756963,6.951076645814598e-09,0.24716991786677556,4.1783454554618455e-11,0.16934599588838709,2.6929079617978004e-11
CCC-BB Spread,ccc_bb_spread,spy_fwd_21d,677,0.5012441782375398,2.369765168752747e-44,0.5385545555889093,3.512106137777506e-52,0.3813807990464224,9.494748996021468e-50
CCC-BB Spread,ccc_bb_spread,spy_fwd_63d,635,0.6620135229248545,2.551524782645358e-81,0.5907272526140748,5.4389925714015424e-61,0.4247923928513969,1.414307378437058e-57
CCC-BB Spread,ccc_bb_spread,spy_fwd_126d,572,0.525374548809951,6.66371997987617e-42,0.39288277347851974,1.4921569193517142e-22,0.2477024608594334,8.923201081089918e-19
CCC-BB Spread,ccc_bb_spread,spy_fwd_252d,446,0.12499090131560961,0.008226979757273599,0.05807124688117057,0.22095923682174862,0.058038208423311,0.06744308582270755
HY-IG Spread Change (dcor),hy_ig_spread_chg,spy_ret (same day),697,0.5131151082477873,,,,,
