signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T1_fixed_p25,P1_long_cash,0,0.5408,0.8998,1.3886,0.6186,14.8,16.45,-23.93,0.6771,0.03,299,96,True
S1_level,T1_fixed_p25,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T1_fixed_p25,P3_long_short,0,0.3193,0.8998,1.3886,0.6186,14.8,16.45,-23.93,0.6771,0.06,299,96,True
S1_level,T1_fixed_p50,P1_long_cash,0,0.3975,0.8522,1.312,0.5845,13.99,16.41,-23.93,0.6562,0.19,299,96,True
S1_level,T1_fixed_p50,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T1_fixed_p50,P3_long_short,0,-0.1724,0.7948,1.2614,0.5503,13.17,16.57,-23.93,0.6562,0.39,299,96,True
S1_level,T1_fixed_p75,P1_long_cash,0,0.516,0.5788,0.7915,0.3132,8.64,14.94,-27.6,0.5833,0.42,299,96,True
S1_level,T1_fixed_p75,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T1_fixed_p75,P3_long_short,0,-0.3107,0.1464,0.2193,0.0437,2.49,16.99,-56.86,0.6146,0.83,299,96,True
S1_level,T2_roll_p25,P1_long_cash,0,0.7589,0.5788,0.7915,0.3132,8.64,14.94,-27.6,0.5833,0.25,299,96,True
S1_level,T2_roll_p25,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T2_roll_p25,P3_long_short,0,0.6559,0.1464,0.2193,0.0437,2.49,16.99,-56.86,0.6146,0.5,299,96,True
S1_level,T2_roll_p50,P1_long_cash,0,0.7122,0.3413,0.2903,0.1621,3.76,11.03,-23.22,0.3438,0.81,299,96,True
S1_level,T2_roll_p50,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T2_roll_p50,P3_long_short,0,0.4856,-0.4313,-0.6849,-0.1031,-7.28,16.87,-70.57,0.5312,1.61,299,96,False
S1_level,T2_roll_p75,P1_long_cash,0,0.876,0.4179,0.2979,0.2214,3.0,7.17,-13.53,0.1875,0.42,299,96,True
S1_level,T2_roll_p75,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T2_roll_p75,P3_long_short,0,0.471,-0.5242,-0.9316,-0.1294,-8.81,16.81,-68.09,0.4479,0.83,299,96,False
S1_level,T3_zscore_1.0,P1_long_cash,0,0.8679,0.362,0.4418,0.1515,2.05,5.66,-13.53,0.125,0.31,299,96,True
S1_level,T3_zscore_1.0,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_1.0,P3_long_short,0,0.427,-0.6403,-1.1203,-0.1563,-10.7,16.72,-68.47,0.4271,0.61,299,96,False
S1_level,T3_zscore_neg_1.0,P1_long_cash,0,0.1204,0.6157,1.2404,0.6186,3.8,6.17,-6.14,0.0625,0.22,299,96,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_neg_1.0,P3_long_short,0,-0.616,-0.4268,-0.8602,-0.1194,-7.2,16.87,-60.33,0.3646,0.44,299,96,False
S1_level,T3_zscore_1.5,P1_long_cash,0,0.868,0.0959,0.1096,0.0376,0.51,5.31,-13.53,0.0625,0.44,299,96,True
S1_level,T3_zscore_1.5,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_1.5,P3_long_short,0,0.2952,-0.8342,-1.4597,-0.1888,-13.79,16.52,-73.03,0.3646,0.89,299,96,False
S1_level,T3_zscore_neg_1.5,P1_long_cash,0,0.2297,0.6024,0.0,0.0,3.14,5.21,0.0,0.0417,0.11,299,96,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_neg_1.5,P3_long_short,0,-0.5672,-0.5066,-1.0034,-0.1378,-8.52,16.82,-61.83,0.3646,0.22,299,96,False
S1_level,T3_zscore_2.0,P1_long_cash,0,0.5263,0.0,0.0,0.0,0.0,99900.0,0.0,0.0,0.28,299,96,False
S1_level,T3_zscore_2.0,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_2.0,P3_long_short,0,-0.4442,-0.8998,-1.613,-0.2016,-14.8,16.45,-73.44,0.3229,0.56,299,96,False
S1_level,T3_zscore_neg_2.0,P1_long_cash,0,0.1834,0.5694,0.0,0.0,1.55,2.73,0.0,0.0312,0.11,299,96,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength,0,0.7839,0.7982,1.1755,0.4881,10.01,12.54,-20.51,0.6562,0.36,299,96,True
S1_level,T3_zscore_neg_2.0,P3_long_short,0,-0.6028,-0.702,-1.2573,-0.1774,-11.7,16.66,-65.93,0.3542,0.22,299,96,False
S1_level,T1_fixed_p25,P1_long_cash,1,0.538,0.8998,1.3886,0.6186,14.8,16.45,-23.93,0.6771,0.03,299,96,True
S1_level,T1_fixed_p25,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T1_fixed_p25,P3_long_short,1,0.3139,0.8998,1.3886,0.6186,14.8,16.45,-23.93,0.6771,0.06,299,96,True
S1_level,T1_fixed_p50,P1_long_cash,1,0.3738,0.8455,1.2988,0.5786,13.84,16.38,-23.93,0.6562,0.19,299,96,True
S1_level,T1_fixed_p50,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T1_fixed_p50,P3_long_short,1,-0.199,0.777,1.2294,0.5386,12.89,16.59,-23.93,0.6562,0.39,299,96,True
S1_level,T1_fixed_p75,P1_long_cash,1,0.3804,0.6662,0.9494,0.4334,10.37,15.57,-23.93,0.5833,0.36,299,96,True
S1_level,T1_fixed_p75,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T1_fixed_p75,P3_long_short,1,-0.4014,0.351,0.5549,0.1379,5.94,16.91,-43.06,0.6146,0.72,299,96,True
S1_level,T2_roll_p25,P1_long_cash,1,0.7102,0.6662,0.9494,0.4334,10.37,15.57,-23.93,0.5833,0.25,299,96,True
S1_level,T2_roll_p25,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T2_roll_p25,P3_long_short,1,0.6009,0.351,0.5549,0.1379,5.94,16.91,-43.06,0.6146,0.5,299,96,True
S1_level,T2_roll_p50,P1_long_cash,1,0.6778,0.7691,0.8079,0.6525,8.83,11.48,-13.53,0.3542,0.81,299,96,True
S1_level,T2_roll_p50,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T2_roll_p50,P3_long_short,1,0.4513,0.1683,0.3278,0.0616,2.86,16.98,-46.44,0.5521,1.61,299,96,True
S1_level,T2_roll_p75,P1_long_cash,1,0.8646,0.5694,0.3519,0.2896,3.92,6.88,-13.53,0.1979,0.42,299,96,True
S1_level,T2_roll_p75,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T2_roll_p75,P3_long_short,1,0.4948,-0.4126,-0.7296,-0.106,-6.97,16.88,-65.68,0.4688,0.83,299,96,False
S1_level,T3_zscore_1.0,P1_long_cash,1,0.7692,0.3502,0.4266,0.1463,1.98,5.65,-13.53,0.125,0.28,299,96,True
S1_level,T3_zscore_1.0,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T3_zscore_1.0,P3_long_short,1,0.3197,-0.649,-1.1402,-0.1583,-10.84,16.71,-68.51,0.4271,0.56,299,96,False
S1_level,T3_zscore_neg_1.0,P1_long_cash,1,0.1387,0.6317,1.1968,0.5968,3.67,5.81,-6.14,0.0625,0.22,299,96,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T3_zscore_neg_1.0,P3_long_short,1,-0.6123,-0.4429,-0.8587,-0.1397,-7.47,16.86,-53.45,0.3646,0.44,299,96,False
S1_level,T3_zscore_1.5,P1_long_cash,1,0.8306,0.042,0.0471,0.0162,0.22,5.2,-13.53,0.0625,0.44,299,96,True
S1_level,T3_zscore_1.5,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T3_zscore_1.5,P3_long_short,1,0.2741,-0.8715,-1.5387,-0.1997,-14.37,16.48,-71.92,0.3646,0.89,299,96,False
S1_level,T3_zscore_neg_1.5,P1_long_cash,1,0.2861,0.6651,0.0,0.0,2.43,3.65,0.0,0.0417,0.11,299,96,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T3_zscore_neg_1.5,P3_long_short,1,-0.5408,-0.5939,-1.073,-0.162,-9.95,16.75,-61.41,0.3646,0.22,299,96,False
S1_level,T3_zscore_2.0,P1_long_cash,1,0.491,0.0,0.0,0.0,0.0,99900.0,0.0,0.0,0.28,299,96,False
S1_level,T3_zscore_2.0,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
S1_level,T3_zscore_2.0,P3_long_short,1,-0.4581,-0.8998,-1.613,-0.2016,-14.8,16.45,-73.44,0.3229,0.56,299,96,False
S1_level,T3_zscore_neg_2.0,P1_long_cash,1,0.2604,0.5609,0.0,0.0,1.83,3.26,0.0,0.0312,0.11,299,96,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength,1,0.7233,0.8209,1.2331,0.5093,10.41,12.68,-20.44,0.6562,0.36,299,96,True
