period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,-0.0703,0.1932,-0.3641,32,-0.356
GFC,2007-12-01,2009-06-30,False,0.1714,0.245,0.6996,19,-0.2226
COVID,2020-02-01,2020-12-31,True,0.0451,0.2771,0.1627,11,-0.2851
2022 Rates Shock,2022-01-01,2022-12-31,True,0.0131,0.2365,0.0554,12,-0.1824
Full OOS,2018-01-01,2025-12-31,True,0.0464,0.1695,0.2737,96,-0.2851
