signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S1_level,T2_roll_p75,P1_long_cash,7,0.5358,0.3114,0.1971,0.1528,2.07,6.64,-13.53,0.1458,0.42,299,96,True
S1_level,T2_roll_p75,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T2_roll_p75,P3_long_short,7,0.1233,-0.638,-1.1263,-0.1532,-10.67,16.72,-69.63,0.4271,0.83,299,96,False
S1_level,T3_zscore_1.0,P1_long_cash,7,0.4689,0.2679,0.125,0.1783,1.57,5.86,-8.8,0.0833,0.22,299,96,True
S1_level,T3_zscore_1.0,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T3_zscore_1.0,P3_long_short,7,0.0059,-0.7,-1.2342,-0.1651,-11.66,16.66,-70.66,0.375,0.44,299,96,False
S1_level,T3_zscore_neg_1.0,P1_long_cash,7,0.3299,0.7899,0.0,4.1519,4.23,5.36,-1.02,0.0729,0.22,299,96,True
S1_level,T3_zscore_neg_1.0,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T3_zscore_neg_1.0,P3_long_short,7,-0.5104,-0.3751,-0.7127,-0.1186,-6.34,16.9,-53.45,0.3854,0.44,299,96,False
S1_level,T3_zscore_1.5,P1_long_cash,7,0.6132,0.0186,0.0075,0.0107,0.09,5.05,-8.8,0.0521,0.44,299,96,True
S1_level,T3_zscore_1.5,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T3_zscore_1.5,P3_long_short,7,0.0741,-0.8877,-1.5423,-0.2016,-14.61,16.46,-72.48,0.3438,0.89,299,96,False
S1_level,T3_zscore_neg_1.5,P1_long_cash,7,0.1731,0.4893,0.0,2.0048,2.04,4.18,-1.02,0.0312,0.11,299,96,True
S1_level,T3_zscore_neg_1.5,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T3_zscore_neg_1.5,P3_long_short,7,-0.6353,-0.6411,-1.209,-0.1697,-10.72,16.71,-63.13,0.3438,0.22,299,96,False
S1_level,T3_zscore_2.0,P1_long_cash,7,0.4355,0.0,0.0,0.0,0.0,99900.0,0.0,0.0,0.28,299,96,False
S1_level,T3_zscore_2.0,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
S1_level,T3_zscore_2.0,P3_long_short,7,-0.4329,-0.8998,-1.613,-0.2016,-14.8,16.45,-73.44,0.3229,0.56,299,96,False
S1_level,T3_zscore_neg_2.0,P1_long_cash,7,0.3563,0.4082,0.0,0.6705,0.68,1.67,-1.02,0.0208,0.11,299,96,True
S1_level,T3_zscore_neg_2.0,P2_signal_strength,7,0.6019,0.8065,1.1894,0.5322,10.08,12.5,-18.94,0.6562,0.36,293,96,True
