signal,threshold,strategy,lead_months,oos_sharpe,annual_turnover,max_drawdown,oos_ann_return,valid,point_role
S1_level,T1_fixed_p25,P1_long_cash,0,0.8998,0.03,-23.93,14.8,True,valid
S1_level,T1_fixed_p25,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T1_fixed_p25,P3_long_short,0,0.8998,0.06,-23.93,14.8,True,valid
S1_level,T1_fixed_p50,P1_long_cash,0,0.8522,0.19,-23.93,13.99,True,valid
S1_level,T1_fixed_p50,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T1_fixed_p50,P3_long_short,0,0.7948,0.39,-23.93,13.17,True,valid
S1_level,T1_fixed_p75,P1_long_cash,0,0.5788,0.42,-27.6,8.64,True,valid
S1_level,T1_fixed_p75,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T1_fixed_p75,P3_long_short,0,0.1464,0.83,-56.86,2.49,True,valid
S1_level,T2_roll_p25,P1_long_cash,0,0.5788,0.25,-27.6,8.64,True,valid
S1_level,T2_roll_p25,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T2_roll_p25,P3_long_short,0,0.1464,0.5,-56.86,2.49,True,valid
S1_level,T2_roll_p50,P1_long_cash,0,0.3413,0.81,-23.22,3.76,True,valid
S1_level,T2_roll_p50,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T2_roll_p50,P3_long_short,0,-0.4313,1.61,-70.57,-7.28,False,invalid
S1_level,T2_roll_p75,P1_long_cash,0,0.4179,0.42,-13.53,3.0,True,valid
S1_level,T2_roll_p75,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T2_roll_p75,P3_long_short,0,-0.5242,0.83,-68.09,-8.81,False,invalid
S1_level,T3_zscore_1.0,P1_long_cash,0,0.362,0.31,-13.53,2.05,True,valid
S1_level,T3_zscore_1.0,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_1.0,P3_long_short,0,-0.6403,0.61,-68.47,-10.7,False,invalid
S1_level,T3_zscore_neg_1.0,P1_long_cash,0,0.6157,0.22,-6.14,3.8,True,valid
S1_level,T3_zscore_neg_1.0,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_neg_1.0,P3_long_short,0,-0.4268,0.44,-60.33,-7.2,False,invalid
S1_level,T3_zscore_1.5,P1_long_cash,0,0.0959,0.44,-13.53,0.51,True,valid
S1_level,T3_zscore_1.5,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_1.5,P3_long_short,0,-0.8342,0.89,-73.03,-13.79,False,invalid
S1_level,T3_zscore_neg_1.5,P1_long_cash,0,0.6024,0.11,0.0,3.14,True,valid
S1_level,T3_zscore_neg_1.5,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_neg_1.5,P3_long_short,0,-0.5066,0.22,-61.83,-8.52,False,invalid
S1_level,T3_zscore_2.0,P1_long_cash,0,0.0,0.28,0.0,0.0,False,invalid
S1_level,T3_zscore_2.0,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_2.0,P3_long_short,0,-0.8998,0.56,-73.44,-14.8,False,invalid
S1_level,T3_zscore_neg_2.0,P1_long_cash,0,0.5694,0.11,0.0,1.55,True,valid
S1_level,T3_zscore_neg_2.0,P2_signal_strength,0,0.7982,0.36,-20.51,10.01,True,valid
S1_level,T3_zscore_neg_2.0,P3_long_short,0,-0.702,0.22,-65.93,-11.7,False,invalid
S1_level,T1_fixed_p25,P1_long_cash,1,0.8998,0.03,-23.93,14.8,True,valid
S1_level,T1_fixed_p25,P2_signal_strength,1,0.8209,0.36,-20.44,10.41,True,valid
