entry_date,exit_date,direction,holding_days,trade_return_pct
1991-12-31,1992-02-29,Long,60,0.0
1992-02-29,1992-10-31,Cash,245,0.0
1992-10-31,1992-12-31,Long,61,0.0
1992-12-31,1994-05-31,Cash,516,0.0
1994-05-31,1994-07-31,Long,61,0.87
1994-07-31,1994-10-31,Cash,92,0.0
1994-10-31,1995-01-31,Long,92,-0.03
1995-01-31,1995-02-28,Cash,28,0.0
1995-02-28,1995-03-31,Long,31,2.78
1995-03-31,1995-04-30,Cash,30,0.0
1995-04-30,1995-08-31,Long,123,9.97
1995-08-31,1996-04-30,Cash,243,0.0
1996-04-30,1996-05-31,Long,31,2.27
1996-05-31,1996-10-31,Cash,153,0.0
1996-10-31,1997-02-28,Long,120,12.28
1997-02-28,1997-05-31,Cash,92,0.0
1997-05-31,1997-12-31,Long,214,15.3
1997-12-31,1998-01-31,Cash,31,0.0
1998-01-31,1998-08-31,Long,212,-1.76
1998-08-31,1999-03-31,Cash,212,0.0
1999-03-31,1999-05-31,Long,61,1.42
1999-05-31,1999-08-31,Cash,92,0.0
1999-08-31,1999-10-31,Long,61,4.03
1999-10-31,2000-01-31,Cash,92,0.0
2000-01-31,2000-02-29,Long,29,-1.52
2000-02-29,2000-04-30,Cash,61,0.0
2000-04-30,2000-08-31,Long,123,5.24
2000-08-31,2000-10-31,Cash,61,0.0
2000-10-31,2000-12-31,Long,61,-7.95
2000-12-31,2002-09-30,Cash,638,0.0
2002-09-30,2003-02-28,Long,151,4.31
2003-02-28,2004-05-31,Cash,458,0.0
2004-05-31,2004-06-30,Long,30,1.85
2004-06-30,2005-05-31,Cash,335,0.0
2005-05-31,2005-09-30,Long,122,3.84
2005-09-30,2006-06-30,Cash,273,0.0
2006-06-30,2006-08-31,Long,62,2.64
2006-08-31,2007-08-31,Cash,365,0.0
2007-08-31,2007-09-30,Long,30,3.87
2007-09-30,2007-10-31,Cash,31,0.0
2007-10-31,2007-11-30,Long,30,-3.87
2007-11-30,2010-02-28,Cash,821,0.0
2010-02-28,2010-06-30,Long,122,-5.96
2010-06-30,2010-07-31,Cash,31,0.0
2010-07-31,2011-02-28,Long,212,22.03
2011-02-28,2012-02-29,Cash,366,0.0
2012-02-29,2012-05-31,Long,92,-3.63
2012-05-31,2012-06-30,Cash,30,0.0
2012-06-30,2012-09-30,Long,92,6.35
2012-09-30,2014-04-30,Cash,577,0.0
2014-04-30,2014-05-31,Long,31,2.32
2014-05-31,2014-09-30,Cash,122,0.0
2014-09-30,2014-12-31,Long,92,4.9
2014-12-31,2017-10-31,Cash,1035,0.0
2017-10-31,2018-01-31,Long,92,10.19
2018-01-31,2018-05-31,Cash,120,0.0
2018-05-31,2018-07-31,Long,61,4.3
2018-07-31,2018-10-31,Cash,92,0.0
2018-10-31,2018-11-30,Long,30,1.85
2018-11-30,2018-12-31,Cash,31,0.0
2018-12-31,2019-01-31,Long,31,8.01
2019-01-31,2019-02-28,Cash,28,0.0
2019-02-28,2019-03-31,Long,31,1.81
2019-03-31,2021-01-31,Cash,672,0.0
2021-01-31,2021-08-31,Long,212,22.82
2021-08-31,2021-11-30,Cash,91,0.0
2021-11-30,2022-02-28,Long,90,-3.82
2022-02-28,2022-06-30,Cash,122,0.0
2022-06-30,2022-07-31,Long,31,9.21
2022-07-31,2022-10-31,Cash,92,0.0
2022-10-31,2022-11-30,Long,30,5.56
2022-11-30,2023-09-30,Cash,304,0.0
2023-09-30,2023-10-31,Long,31,-2.17
2023-10-31,2024-10-31,Cash,366,0.0
2024-10-31,2024-11-30,Long,30,5.96
2024-11-30,2025-08-31,Cash,274,0.0
2025-08-31,2025-09-30,Long,30,3.56
2025-09-30,2025-10-31,Cash,31,0.0
2025-10-31,2025-11-30,Long,30,0.19
2025-11-30,2025-12-31,Cash,31,0.0
