transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
indpro_yoy,+0.030,+0.014,-0.000,+0.005,+0.019,-0.001,-0.025,-0.027,-0.032,-0.044,-0.038,-0.047,-0.039,L11,-0.047
indpro_mom,+0.067,+0.069,-0.046,-0.032,+0.150**,-0.005,-0.023,-0.040,+0.047,-0.017,-0.057,+0.014,-0.007,L4,+0.150
indpro_mom_3m,+0.043,-0.008,+0.037,+0.056,+0.059,-0.044,-0.017,-0.014,-0.023,-0.041,-0.037,-0.006,-0.025,L4,+0.059
indpro_mom_6m,+0.070,+0.036,-0.005,+0.027,+0.032,-0.047,-0.041,-0.036,-0.020,-0.047,-0.027,+0.015,-0.026,L0,+0.070
indpro_zscore_60m,-0.022,-0.039,-0.053,-0.043,-0.025,-0.061,-0.063,-0.059,-0.039,-0.051,-0.048,-0.030,-0.031,L6,-0.063
indpro_accel,-0.002,+0.090,-0.011,-0.144**,+0.123*,+0.014,+0.013,-0.068,+0.050,+0.032,-0.057,+0.017,-0.009,L3,-0.144
indpro_contraction,-0.037,-0.047,-0.049,-0.036,-0.058,-0.004,+0.018,+0.030,+0.042,+0.050,+0.088,+0.108*,+0.058,L11,+0.108
