regime,n_days,ann_return_pct,ann_vol_pct,sharpe
Q1_low,2174,12.42,17.18,0.723
Q2,2145,16.86,14.58,1.156
Q3,2132,6.23,15.23,0.409
Q4_high,2137,10.41,24.53,0.424
