signal,horizon,method,correlation,p_value,n
hy_ig_spread,spy_fwd_1d,Pearson,0.0049,0.6881,6782
hy_ig_spread,spy_fwd_5d,Pearson,0.0038,0.7523,6778
hy_ig_spread,spy_fwd_21d,Pearson,-0.0045,0.7111,6762
hy_ig_spread,spy_fwd_63d,Pearson,-0.0356,0.0035,6720
hy_ig_spread,spy_fwd_126d,Pearson,0.0255,0.0377,6657
hy_ig_spread,spy_fwd_252d,Pearson,0.0772,0.0,6531
hy_ig_zscore_252d,spy_fwd_1d,Pearson,0.0019,0.8791,6583
hy_ig_zscore_252d,spy_fwd_5d,Pearson,-0.0001,0.9945,6579
hy_ig_zscore_252d,spy_fwd_21d,Pearson,0.0156,0.2074,6563
hy_ig_zscore_252d,spy_fwd_63d,Pearson,-0.015,0.2259,6521
hy_ig_zscore_252d,spy_fwd_126d,Pearson,-0.0548,0.0,6458
hy_ig_zscore_252d,spy_fwd_252d,Pearson,-0.099,0.0,6332
hy_ig_zscore_504d,spy_fwd_1d,Pearson,0.0061,0.6239,6383
hy_ig_zscore_504d,spy_fwd_5d,Pearson,0.0082,0.5127,6379
hy_ig_zscore_504d,spy_fwd_21d,Pearson,0.0232,0.0642,6363
hy_ig_zscore_504d,spy_fwd_63d,Pearson,-0.0051,0.6878,6321
hy_ig_zscore_504d,spy_fwd_126d,Pearson,-0.0401,0.0015,6258
hy_ig_zscore_504d,spy_fwd_252d,Pearson,-0.024,0.0602,6132
hy_ig_pctrank_504d,spy_fwd_1d,Pearson,-0.0001,0.9945,6383
hy_ig_pctrank_504d,spy_fwd_5d,Pearson,-0.0002,0.9863,6379
hy_ig_pctrank_504d,spy_fwd_21d,Pearson,-0.0014,0.9098,6363
hy_ig_pctrank_504d,spy_fwd_63d,Pearson,-0.0208,0.0979,6321
hy_ig_pctrank_504d,spy_fwd_126d,Pearson,-0.0511,0.0001,6258
hy_ig_pctrank_504d,spy_fwd_252d,Pearson,-0.0201,0.1159,6132
hy_ig_pctrank_1260d,spy_fwd_1d,Pearson,0.0066,0.6137,5783
hy_ig_pctrank_1260d,spy_fwd_5d,Pearson,0.0144,0.2752,5779
hy_ig_pctrank_1260d,spy_fwd_21d,Pearson,0.0239,0.0693,5763
hy_ig_pctrank_1260d,spy_fwd_63d,Pearson,0.0221,0.095,5721
hy_ig_pctrank_1260d,spy_fwd_126d,Pearson,0.0223,0.0934,5658
hy_ig_pctrank_1260d,spy_fwd_252d,Pearson,0.0911,0.0,5532
hy_ig_roc_21d,spy_fwd_1d,Pearson,0.0172,0.1571,6761
hy_ig_roc_21d,spy_fwd_5d,Pearson,0.0364,0.0028,6757
hy_ig_roc_21d,spy_fwd_21d,Pearson,0.0651,0.0,6741
hy_ig_roc_21d,spy_fwd_63d,Pearson,0.0284,0.0201,6699
hy_ig_roc_21d,spy_fwd_126d,Pearson,0.0137,0.2649,6636
hy_ig_roc_21d,spy_fwd_252d,Pearson,-0.0167,0.1776,6510
hy_ig_roc_63d,spy_fwd_1d,Pearson,0.0214,0.0787,6719
hy_ig_roc_63d,spy_fwd_5d,Pearson,0.0399,0.0011,6715
hy_ig_roc_63d,spy_fwd_21d,Pearson,0.035,0.0042,6699
hy_ig_roc_63d,spy_fwd_63d,Pearson,-0.0539,0.0,6657
hy_ig_roc_63d,spy_fwd_126d,Pearson,-0.0237,0.0542,6594
hy_ig_roc_63d,spy_fwd_252d,Pearson,-0.0208,0.0951,6468
hy_ig_roc_126d,spy_fwd_1d,Pearson,0.0077,0.5317,6656
hy_ig_roc_126d,spy_fwd_5d,Pearson,0.0079,0.52,6652
hy_ig_roc_126d,spy_fwd_21d,Pearson,0.014,0.2553,6636
hy_ig_roc_126d,spy_fwd_63d,Pearson,-0.0506,0.0,6594
hy_ig_roc_126d,spy_fwd_126d,Pearson,-0.0152,0.2192,6531
hy_ig_roc_126d,spy_fwd_252d,Pearson,-0.0476,0.0001,6405
hy_ig_mom_21d,spy_fwd_1d,Pearson,0.0246,0.0435,6761
hy_ig_mom_21d,spy_fwd_5d,Pearson,0.0449,0.0002,6757
hy_ig_mom_21d,spy_fwd_21d,Pearson,0.0576,0.0,6741
hy_ig_mom_21d,spy_fwd_63d,Pearson,-0.0409,0.0008,6699
hy_ig_mom_21d,spy_fwd_126d,Pearson,-0.0315,0.0103,6636
hy_ig_mom_21d,spy_fwd_252d,Pearson,-0.0359,0.0038,6510
hy_ig_mom_63d,spy_fwd_1d,Pearson,0.0123,0.3121,6719
hy_ig_mom_63d,spy_fwd_5d,Pearson,0.0141,0.2485,6715
hy_ig_mom_63d,spy_fwd_21d,Pearson,-0.0411,0.0008,6699
hy_ig_mom_63d,spy_fwd_63d,Pearson,-0.1688,0.0,6657
hy_ig_mom_63d,spy_fwd_126d,Pearson,-0.0993,0.0,6594
hy_ig_mom_63d,spy_fwd_252d,Pearson,-0.0532,0.0,6468
hy_ig_mom_252d,spy_fwd_1d,Pearson,0.004,0.7478,6530
hy_ig_mom_252d,spy_fwd_5d,Pearson,-0.0017,0.8911,6526
hy_ig_mom_252d,spy_fwd_21d,Pearson,-0.0213,0.0852,6510
hy_ig_mom_252d,spy_fwd_63d,Pearson,-0.0417,0.0008,6468
hy_ig_mom_252d,spy_fwd_126d,Pearson,-0.0092,0.4636,6405
hy_ig_mom_252d,spy_fwd_252d,Pearson,0.0009,0.9421,6279
hy_ig_acceleration,spy_fwd_1d,Pearson,0.0059,0.6287,6740
hy_ig_acceleration,spy_fwd_5d,Pearson,0.0107,0.3777,6736
hy_ig_acceleration,spy_fwd_21d,Pearson,0.0162,0.184,6720
hy_ig_acceleration,spy_fwd_63d,Pearson,0.0477,0.0001,6678
hy_ig_acceleration,spy_fwd_126d,Pearson,0.0217,0.0772,6615
hy_ig_acceleration,spy_fwd_252d,Pearson,-0.0007,0.9567,6489
ccc_bb_spread,spy_fwd_1d,Pearson,-0.0026,0.8318,6782
ccc_bb_spread,spy_fwd_5d,Pearson,-0.0101,0.4071,6778
ccc_bb_spread,spy_fwd_21d,Pearson,-0.0292,0.0163,6762
ccc_bb_spread,spy_fwd_63d,Pearson,-0.0775,0.0,6720
ccc_bb_spread,spy_fwd_126d,Pearson,-0.0507,0.0,6657
ccc_bb_spread,spy_fwd_252d,Pearson,0.0018,0.8839,6531
hy_ig_realized_vol_21d,spy_fwd_1d,Pearson,0.0177,0.1449,6767
hy_ig_realized_vol_21d,spy_fwd_5d,Pearson,0.0345,0.0045,6763
hy_ig_realized_vol_21d,spy_fwd_21d,Pearson,0.071,0.0,6747
hy_ig_realized_vol_21d,spy_fwd_63d,Pearson,0.0767,0.0,6705
hy_ig_realized_vol_21d,spy_fwd_126d,Pearson,0.135,0.0,6642
hy_ig_realized_vol_21d,spy_fwd_252d,Pearson,0.1975,0.0,6516
vix_term_structure,spy_fwd_1d,Pearson,-0.0383,0.0064,5077
vix_term_structure,spy_fwd_5d,Pearson,-0.0081,0.5642,5073
vix_term_structure,spy_fwd_21d,Pearson,-0.0014,0.918,5057
vix_term_structure,spy_fwd_63d,Pearson,-0.0141,0.3183,5015
vix_term_structure,spy_fwd_126d,Pearson,-0.0236,0.0964,4952
vix_term_structure,spy_fwd_252d,Pearson,-0.0388,0.007,4826
yield_spread_10y3m,spy_fwd_1d,Pearson,-0.0134,0.2703,6782
yield_spread_10y3m,spy_fwd_5d,Pearson,-0.0336,0.0056,6778
yield_spread_10y3m,spy_fwd_21d,Pearson,-0.0607,0.0,6762
yield_spread_10y3m,spy_fwd_63d,Pearson,-0.109,0.0,6720
yield_spread_10y3m,spy_fwd_126d,Pearson,-0.1178,0.0,6657
yield_spread_10y3m,spy_fwd_252d,Pearson,-0.0746,0.0,6531
yield_spread_10y2y,spy_fwd_1d,Pearson,-0.0007,0.9545,6782
yield_spread_10y2y,spy_fwd_5d,Pearson,-0.0031,0.7967,6778
yield_spread_10y2y,spy_fwd_21d,Pearson,-0.0003,0.9784,6762
yield_spread_10y2y,spy_fwd_63d,Pearson,-0.0,0.9975,6720
yield_spread_10y2y,spy_fwd_126d,Pearson,-0.0014,0.9103,6657
yield_spread_10y2y,spy_fwd_252d,Pearson,0.0125,0.3114,6531
bank_smallcap_ratio,spy_fwd_1d,Pearson,-0.0192,0.1648,5251
bank_smallcap_ratio,spy_fwd_5d,Pearson,-0.0469,0.0007,5247
bank_smallcap_ratio,spy_fwd_21d,Pearson,-0.1008,0.0,5231
bank_smallcap_ratio,spy_fwd_63d,Pearson,-0.1853,0.0,5189
bank_smallcap_ratio,spy_fwd_126d,Pearson,-0.2588,0.0,5126
bank_smallcap_ratio,spy_fwd_252d,Pearson,-0.3701,0.0,5000
nfci_momentum_13w,spy_fwd_1d,Pearson,-0.0236,0.0529,6713
nfci_momentum_13w,spy_fwd_5d,Pearson,-0.0592,0.0,6709
nfci_momentum_13w,spy_fwd_21d,Pearson,-0.1062,0.0,6693
nfci_momentum_13w,spy_fwd_63d,Pearson,-0.2096,0.0,6651
nfci_momentum_13w,spy_fwd_126d,Pearson,-0.1931,0.0,6588
nfci_momentum_13w,spy_fwd_252d,Pearson,-0.116,0.0,6462
bbb_ig_spread,spy_fwd_1d,Pearson,0.0168,0.1664,6782
bbb_ig_spread,spy_fwd_5d,Pearson,0.0354,0.0036,6778
bbb_ig_spread,spy_fwd_21d,Pearson,0.0627,0.0,6762
bbb_ig_spread,spy_fwd_63d,Pearson,0.0874,0.0,6720
bbb_ig_spread,spy_fwd_126d,Pearson,0.1586,0.0,6657
bbb_ig_spread,spy_fwd_252d,Pearson,0.2175,0.0,6531
