regime,n_days,ann_return_pct,ann_vol_pct,sharpe
Q1_low,1699,16.89,11.62,1.454
Q2,1696,15.9,14.24,1.117
Q3,1691,5.43,16.94,0.32
Q4_high,1696,-1.04,28.73,-0.036
